language_long	mca_comma	mca_comma_remove_parenthesis	mca_ed	mca_remove_parenthesis
global	0.3080082834771621	0.301940210944644	0.22560855569082547	0.2634703081295993
Afar	0.021141159677481577	0.020832529609197178	0.013425407970371513	0.01901932795802631
Abkhaz	0.9352331606217616	0.9689119170984456	0.9378238341968912	1.2746113989637307
Ambonese	0.0	0.0	0.0	0.0
Acehnese	0.0316690062442519	0.03279442373783823	0.022096906917082142	0.028849411878600125
Adyghe	0.7354497354497355	0.7354497354497355	0.3968253968253968	0.6931216931216931
Adyghe in Cyrillic script	0.033112582781456956	0.033112582781456956	0.033112582781456956	0.033112582781456956
Tunisian Arabic	0.11042944785276074	0.11042944785276074	0.11042944785276074	0.11042944785276074
Tunisian Arabic in Arabic script	2.257453666398066	2.280419016921837	2.185334407735697	2.2614826752618855
Tunisian Arabic in Latin script	0.08770718232044199	0.08839779005524862	0.08149171270718232	0.08770718232044199
Afrikaans	0.22788041588675992	0.199714231282149	0.21335867137230247	0.19101733663554962
Akan Wiktionary	0.026516007532956687	0.02598870056497175	0.017062146892655367	0.023163841807909605
Gheg Albanian	0.015183556081881239	0.015268144138047708	0.008839451869396041	0.014549145660632718
Swiss German	0.25384615384615383	0.2230769230769231	0.23846153846153847	0.2230769230769231
Amharic	1.258879781420765	1.275273224043716	1.0293715846994536	1.2629781420765027
Aragonese	0.19795588729816593	0.19572983164092217	0.18291721564065955	0.18651253045788818
Old English	0.05433403805496829	0.05486257928118393	0.04397463002114165	0.05155038759689923
Angika	0.0989010989010989	0.0989010989010989	0.0989010989010989	0.0989010989010989
Arabic	1.190661426788812	1.1761877225553155	1.1616683659494171	1.1714874303801321
Aramaic	0.9006410256410257	0.9230769230769231	0.7916666666666666	0.9134615384615384
Mapudungun	0.01780086875053232	0.018013797802572184	0.011753683672600289	0.017843454560940296
Algerian Arabic	1.0971922246220303	1.1166306695464363	1.0237580993520519	1.1079913606911447
Moroccan Arabic	1.5095868748764578	1.5248072741648546	1.4601699940699744	1.5133425578177506
Egyptian Arabic	0.7588820713287232	0.7308271583557034	0.7389422541657904	0.7291988817002115
Assamese	0.5552820053715309	0.5570725156669651	0.5167860340196956	0.5530438675022381
Asturian	0.16992717811990343	0.17553489096295616	0.1308118273707561	0.1437493229005697
Atikamekw	0.07197943444730077	0.07197943444730077	0.056555269922879174	0.056555269922879174
Avaric	1.6782608695652175	1.6869565217391305	1.5681159420289854	1.7739130434782608
Kotava	0.5331588132635253	0.5270506108202443	0.5078534031413613	0.525305410122164
Awadhi	0.5992779783393501	0.5776173285198556	0.6028880866425993	0.5776173285198556
Aymara	0.06022648654553399	0.060772675964024324	0.052288533663474496	0.05869715617376106
Azerbaijani	0.6165194300293316	0.6043181699845531	0.5434507176701321	0.5996841210059531
South Azerbaijani	1.1429203148492084	1.0042704266636344	1.07545262732315	0.999153495306321
Bashkir language	6.603685987619584	6.6339335959482275	2.8148564997186267	6.0440348902644905
Balinese	0.3208137715179969	0.3145539906103286	0.30359937402190923	0.3129890453834116
Bavarian	0.14931903903680718	0.14853471941583868	0.12260548856394345	0.1273951031897549
Toba Batak	0.06315789473684211	0.06315789473684211	0.06315789473684211	0.06315789473684211
Batak Toba in Latin script	0.08764665286404417	0.0883367839889579	0.08143547273982056	0.08764665286404417
Southern Balochi	0.08465608465608465	0.08465608465608465	0.08465608465608465	0.08465608465608465
Central Bikol	0.044410799899066364	0.04473522944378357	0.029775422659601314	0.03648029991709023
Belarusian	2.588806787082649	2.5998905309250135	2.530049261083744	2.4998357963875204
Taraškievica	1.4577722655327192	1.466040633120718	1.4243444365698086	1.3486298133711316
Bulgarian	2.452932207918769	2.4342413429950174	2.3793244368997657	2.349313884216979
Western Balochi	0.033112582781456956	0.033112582781456956	0.033112582781456956	0.033112582781456956
Bhojpuri	1.118572927597062	1.1190975865687303	1.114900314795383	1.1107030430220357
Bislama Wiktionary	0.022900763358778626	0.023051923512961984	0.015229385533973244	0.021313581739853375
Banjar	0.026238836639532127	0.027318949392765877	0.019204931636765985	0.025830501330382782
Bambara	0.12176732557231033	0.12303204719180133	0.1051644659739042	0.10965843240920396
Bengali	1.2509576320371445	1.242815686924799	1.2061023132410247	1.2310919492579389
Tibetan	1.6649431230610134	1.6825232678386763	1.6339193381592554	1.671147880041365
Bishnupriya Manipuri	0.8766233766233766	0.8766233766233766	0.8668831168831169	0.8766233766233766
Bakhtiari	0.12105263157894737	0.12105263157894737	0.12105263157894737	0.12105263157894737
Breton	0.20532315495555498	0.20561623903598655	0.18341573379101878	0.19035371751782934
Brahui language	0.014440277598172334	0.014526488210698737	0.008319324108797793	0.014440277598172334
Bosnian	0.22845626998846327	0.22883595951925464	0.19666457350643282	0.20834732830001315
Mandailing	0.0	0.0	0.0	0.0
Rinconada Bikol	0.05373134328358209	0.05373134328358209	0.05373134328358209	0.05373134328358209
Buginese	0.029811240557197784	0.03139550609555826	0.023551459649529552	0.03010104522884909
Russia Buriat	1.1700819672131149	1.1741803278688525	0.9016393442622951	1.2151639344262295
Catalan	0.24629180631819153	0.24716614735543485	0.1989561791342794	0.20777634213837376
Zamboanga Chavacano	0.02394683573310927	0.024061413894511705	0.015277088186991559	0.02215177787113776
Min Dong	0.057944067089135964	0.0581337988084848	0.04238606610253102	0.055970857207908016
Chechen	1.6790123456790123	1.6767261088248742	1.6200274348422496	3.327846364883402
Cebuano	0.1119484937878168	0.11205615727482182	0.10169892982493917	0.10945070088930041
Chamorro	0.020435861641073368	0.020552194819295797	0.012641538700170622	0.01876841941988522
Choctaw	0.019951773490976977	0.020068450528935907	0.012134411947728687	0.01827940261356565
Cherokee	0.0177489363530878	0.017920838884352572	0.011646396493188362	0.0177489363530878
Cheyenne	0.020636152055857254	0.02079131109387122	0.012839410395655547	0.01900698215671063
Sorani	1.651190476190476	1.6611111111111112	1.6238095238095238	1.6563492063492065
Corsican	0.14228267762598382	0.14257342024796232	0.1291865558281183	0.13414250459644672
Capiznon	0.09763313609467456	0.09763313609467456	0.09763313609467456	0.09763313609467456
Cree Wikiquote	0.01983212961155573	0.01994924848721452	0.011985164942416552	0.01815342572711302
Crimean Tatar	1.3207171314741035	1.3067729083665338	1.0398406374501992	1.2908366533864541
Crimean Tatar Cyrillic alphabet	0.10869565217391304	0.10869565217391304	0.10869565217391304	0.10869565217391304
Crimean Tatar Latin alphabet	0.0397868833608034	0.039940204683966425	0.02832611445436774	0.03783203649047491
Czech	0.49417176946610974	0.42171940944113184	0.396660613897938	0.34215166488938287
Kashubian	0.03317605973919827	0.03351042092357989	0.024519820187985288	0.03161570754541739
Old Church Slavonic	0.02366724697689738	0.023902507881240296	0.016044793676186893	0.023149672987342964
Chuvash	7.194829424307036	7.231876332622601	2.590351812366738	6.558901918976546
Welsh	0.1431873694729923	0.14470128799087975	0.08401997715095168	0.08977369199796251
Danish	0.29168696763803226	0.27901938006659766	0.22402637585753654	0.22098257822799405
Dagbani	0.10687022900763359	0.09923664122137404	0.10687022900763359	0.09923664122137404
German	0.23586148013322308	0.23859542661835062	0.1653706308377631	0.17910275834321476
Austrian German	0.11396528665037844	0.11297239946801357	0.10032950036984735	0.10382701474917437
Swiss Standard German	0.19358829736909136	0.19066402724811504	0.15626068920344965	0.16282640971150766
formal address in German	0.5454545454545454	0.36363636363636365	0.5454545454545454	0.36363636363636365
Dinka	0.24047619047619048	0.24047619047619048	0.1976190476190476	0.20476190476190476
Zazaki	0.06707613719289711	0.06500851374361469	0.057802237898321576	0.06202870347847239
Lower Sorbian	0.1733573780774659	0.16435628038262506	0.16151795515132508	0.15985573153520463
Kadazandusun	0.0168481610848572	0.016930347236490652	0.00834189439079515	0.014464762687487158
Doteli	0.9079861111111112	0.9201388888888888	0.90625	0.9149305555555556
