language_long	mca_edit_distance
global	0.22560855569082547
Afar	0.013425407970371513
Abkhaz	0.9378238341968912
Ambonese	0.0
Acehnese	0.022096906917082142
Adyghe	0.3968253968253968
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.185334407735697
Tunisian Arabic in Latin script	0.08149171270718232
Afrikaans	0.21335867137230247
Akan Wiktionary	0.017062146892655367
Gheg Albanian	0.008839451869396041
Swiss German	0.23846153846153847
Amharic	1.0293715846994536
Aragonese	0.18291721564065955
Old English	0.04397463002114165
Angika	0.0989010989010989
Arabic	1.1616683659494171
Aramaic	0.7916666666666666
Mapudungun	0.011753683672600289
Algerian Arabic	1.0237580993520519
Moroccan Arabic	1.4601699940699744
Egyptian Arabic	0.7389422541657904
Assamese	0.5167860340196956
Asturian	0.1308118273707561
Atikamekw	0.056555269922879174
Avaric	1.5681159420289854
Kotava	0.5078534031413613
Awadhi	0.6028880866425993
Aymara	0.052288533663474496
Azerbaijani	0.5434507176701321
South Azerbaijani	1.07545262732315
Bashkir language	2.8148564997186267
Balinese	0.30359937402190923
Bavarian	0.12260548856394345
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.08143547273982056
Southern Balochi	0.08465608465608465
Central Bikol	0.029775422659601314
Belarusian	2.530049261083744
Taraškievica	1.4243444365698086
Bulgarian	2.3793244368997657
Western Balochi	0.033112582781456956
Bhojpuri	1.114900314795383
Bislama Wiktionary	0.015229385533973244
Banjar	0.019204931636765985
Bambara	0.1051644659739042
Bengali	1.2061023132410247
Tibetan	1.6339193381592554
Bishnupriya Manipuri	0.8668831168831169
Bakhtiari	0.12105263157894737
Breton	0.18341573379101878
Brahui language	0.008319324108797793
Bosnian	0.19666457350643282
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.023551459649529552
Russia Buriat	0.9016393442622951
Catalan	0.1989561791342794
Zamboanga Chavacano	0.015277088186991559
Min Dong	0.04238606610253102
Chechen	1.6200274348422496
Cebuano	0.10169892982493917
Chamorro	0.012641538700170622
Choctaw	0.012134411947728687
Cherokee	0.011646396493188362
Cheyenne	0.012839410395655547
Sorani	1.6238095238095238
Corsican	0.1291865558281183
Capiznon	0.09763313609467456
Cree Wikiquote	0.011985164942416552
