mca_before	mca_after	mca_diff
0.2051334547488724	0.2035912830114614	-0.0015421717374110022
0.0156197825844989	0.0153600712351129	-0.0002597113493859986
2.0531400966183573	2.0483091787439616	-0.004830917874395713
0.0246589965603131	0.0243150278733246	-0.00034396868698850086
2.0050483803113166	2.040807740849811	0.03575936053849427
0.0678941311852704	0.0661680092059839	-0.0017261219792865101
0.1973330267846879	0.1942568111277158	-0.003076215656972081
0.0203904868454292	0.0199574145584467	-0.00043307228698250336
0.0116783585418271	0.0115161591176351	-0.000162199424192001
1.0918704560475876	1.086582947785856	-0.005287508261731633
0.1961297294983735	0.1933102208525937	-0.002819508645779817
0.0510100325379609	0.0501626898047722	-0.0008473427331887051
1.09455144899328	1.09332514579484	-0.0012263031984398598
1.6830985915492958	1.7112676056338028	0.028169014084507005
0.0150124423775139	0.0147268796148982	-0.0002855627626156994
1.3907145586549483	1.4033244172716852	0.012609858616736913
0.7066270246433131	0.7042535591449345	-0.0023734654983785797
1.1361922714420358	1.20311027332705	0.06691800188501418
0.0443342735726629	0.0437906801998372	-0.0005435933728256959
0.0454155955441302	0.0437017994858611	-0.0017137960582691014
3.2738853503184715	3.248407643312102	-0.02547770700636942
0.6287581699346405	0.6196078431372549	-0.009150326797385588
0.0589100588400112	0.0578243205379658	-0.0010857383020453984
0.5784129011655756	0.5683538240459843	-0.010059077119591309
0.9061325717721328	0.8971767122601333	-0.008955859511999509
2.8477798457856958	2.845652751927678	-0.0021270938580175702
0.2685009487666034	0.2637571157495256	-0.004743833017077814
0.1277714779892251	0.1255432648396789	-0.0022282131495462154
0.0586510263929618	0.0527859237536656	-0.005865102639296196
0.0678941311852704	0.0661680092059839	-0.0017261219792865101
0.0337777777777777	0.0333333333333333	-0.0004444444444444001
2.469805552771374	2.462939761451338	-0.006865791320036063
1.2795865862313698	1.2818931866572036	0.00230660042583386
2.3799089861410714	2.379377086965515	-0.0005318991755562941
1.012249443207127	0.977728285077951	-0.034521158129176
0.018283595652648	0.0180291519755734	-0.0002544436770746013
0.0210917633695189	0.0208077861393295	-0.0002839772301894
0.1140634801154183	0.1123949316271484	-0.0016685484882698887
1.0880460034890287	1.1146435263348624	0.02659752284583372
1.5188381231219663	1.5827105323984898	0.06387240927652349
2.0	2.014705882352941	0.014705882352941124
0.1942405038834576	0.191168515012172	-0.003071988871285597
0.011196033877298	0.011072092542863	-0.00012394133443499947
0.2102834168577819	0.2063903281519861	-0.0038930887057957997
0.0444078947368421	0.0411184210526315	-0.003289473684210599
0.0246448578475422	0.0243771867770491	-0.00026767107049309805
1.7039473684210529	1.7138157894736843	0.009868421052631415
0.2061387733724054	0.2030637512866114	-0.0030750220857940214
0.0190158648737771	0.0186128311288608	-0.00040303374491629934
0.0461925785383296	0.0460831174517459	-0.00010946108658370368
2.693645484949833	2.6996655518394648	0.00602006688963197
0.1108836859583533	0.1087742016332839	-0.0021094843250693968
0.0153232421146819	0.0150995451495041	-0.00022369696517779945
0.0147339291724318	0.0145095546165064	-0.00022437455592539887
1.5728155339805825	1.5631067961165048	-0.009708737864077666
0.0154041251725038	0.0151803364290776	-0.00022378874342619988
1.5223952480333922	1.525766575694333	0.003371327660940837
0.1374810601645726	0.1352572321033124	-0.0022238280612602024
0.0672131147540983	0.0639344262295081	-0.0032786885245902064
0.014487819639885	0.0143365108185807	-0.00015130882130429991
1.161422708618331	1.136798905608755	-0.024623803009576006
0.0325646504089	0.0321594341707802	-0.0004052162381197946
0.314374726110543	0.3100000503704748	-0.0043746757400682235
0.0283743701533073	0.0282671622056248	-0.00010720794768249997
2.7471264367816093	2.7701149425287355	0.022988505747126187
2.74967641729226	2.750453015790836	0.000776598498576142
0.0916874994148104	0.090381356328942	-0.0013061430858684053
0.2183108673101192	0.2148486452477772	-0.0034622220623420075
0.168836137330281	0.1667033235960137	-0.002132813734267297
0.1051792662300148	0.1036688499258712	-0.0015104163041435997
0.1645602876106194	0.162112831858407	-0.0024474557522123908
0.0910404624277456	0.0867052023121387	-0.0043352601156069065
0.0606318883174136	0.0591623806024981	-0.0014695077149154967
0.1653259107454195	0.1622365644021656	-0.0030893463432538903
0.0113950003942906	0.0112372841258575	-0.00015771626843310085
0.9173228346456692	0.8946850393700787	-0.02263779527559051
1.4621848739495795	1.4705882352941178	0.00840336134453823
0.125563161898075	0.1236908314317477	-0.0018723304663273155
0.0476057126855222	0.0470456454774572	-0.0005600672080650002
1.8573961554262977	1.8530174930265744	-0.004378662399723288
0.0376521298174442	0.037176724137931	-0.00047540567951320084
8.162980682359222e-05	0.0001214434788385	3.9813672014907785e-05
0.12561468165115	0.1238844666330979	-0.0017302150180520948
0.1172772475281476	0.1156150578194357	-0.001662189708711903
0.2963844978615174	0.2919893360416402	-0.0043951618198772024
0.1013813422703452	0.1000946411534669	-0.0012867011168783
0.7177914110429447	0.6901840490797546	-0.027607361963190136
0.2645488956730444	0.2599078964651188	-0.0046409992079256
0.2539070185794193	0.2508854034910194	-0.003021615088399876
0.0484255996362396	0.0479993179493009	-0.00042628168693870094
0.9200311091794954	0.915941167051719	-0.004089942127776358
0.0169497743698866	0.0166929596067065	-0.0002568147631801
0.2056855792427361	0.2023197651309135	-0.0033658141118226015
0.0530737566637424	0.0525001687023415	-0.0005735879614009037
0.0159545204474601	0.0157344580964606	-0.00022006235099950033
0.0517308561542418	0.0511074050406022	-0.0006234511136396018
0.2147298377579998	0.2116762468880142	-0.0030535908699856062
0.1578130785098468	0.1555387083693295	-0.00227437014051729
0.109285319134223	0.1076948343821312	-0.0015904847520917947
