language_long	num_permuted_baseline	num_surviving_baseline
Dutch Low Saxon	0	162971
Nepali	0	6294
Newar	0	1082
Ndonga	0	24646
Nias	0	1
Niuean	0	325
Dutch	0	7130595
informal Dutch	0	6
Nynorsk	0	852543
Norwegian	0	388
Northern Thai	0	170
Novial	0	26216
N'Ko	0	263
Norman	0	109319
Northern Sotho	0	24796
Navajo	0	24809
Chewa	0	24818
Noongar	0	3945
Occitan	0	168121
Livvi-Karelian	0	2339
Oromo	0	24681
Odia	0	9125
Ossetian	0	867
Ottoman Turkish	0	203
Eastern Punjabi	0	10310
Pangasinan	0	25165
Kapampangan	0	26272
Papiamento	0	76804
Picard	0	135808
Pennsylvania German	0	30655
Plautdietsch	0	24979
Palatinate German	0	55335
Pali	0	3494
Pitkern	0	25167
Polish	0	729072
Piedmontese	0	139825
Western Punjabi	0	7648
Pontic Greek	0	899
Old Prussian	0	74528
Pashto	0	1848
Portuguese	0	1376697
Brazilian Portuguese	0	287235
Quechua	0	30821
Kichwa	0	23388
Romagnol	0	52714
Riffian	0	23361
Romansh	0	164184
Finnish Kalo	0	591
Romani	0	25507
Kirundi	0	24825
Romanian	0	305145
Tarantino	0	25147
Russian	0	703920
Rusyn	0	776
Aromanian	0	26372
Megleno-Romanian	0	1268
Megleno-Romanian in Cyrillic script	0	189
Megleno-Romanian in Latin script	0	24588
Kinyarwanda	0	24989
Marwari (India)	0	162
Sanskrit	0	2310
Sakha	0	1224
Santali	0	24567
Sardinian	0	143296
Sicilian	0	135541
Scots	0	164925
Sindhi	0	1363
Sassarese	0	23674
Southern Kurdish	0	151
Northern Sami	0	48437
Seri	0	23608
Koyraboro Senni	0	165
Sango	0	24775
Samogitian	0	25468
Serbo-Croatian	0	59304
Tashelhit	0	622
Tachelhit in Latin script	0	24583
Tachelhit in Tifinagh script	0	177
Shan	0	215
Shawiya in Latin script	0	18
Sinhala	0	2146
Simple English	0	6865
Kildin Sami	0	326
Pite Sami	0	17838
Ume Sami	0	590
Slovak	0	304960
Saraiki	0	24
Saraiki in Arabic script	0	3
Slovene	0	2386865
Silesian German	0	23560
Samoan	0	24851
Southern Sami	0	41893
Lule Sami	0	19080
Inari Sami	0	792
Skolt Sami	0	711
Shona	0	25820
Somali	0	25571
Albanian	0	2516901
