language_long	num_permuted_edit_distance	num_surviving_edit_distance
Neapolitan	135	131034
Bokmål	3289	1222436
Low German	428	287140
Dutch Low Saxon	236	162735
Nepali	102	6192
Newar	36	1046
Ndonga	20	24626
Nias	0	1
Niuean	0	325
Dutch	24848	7105747
informal Dutch	0	6
Nynorsk	1398	851145
Norwegian	0	388
Northern Thai	0	170
Novial	22	26194
N'Ko	10	253
Norman	103	109216
Northern Sotho	23	24773
Navajo	29	24780
Chewa	20	24798
Noongar	7	3938
Occitan	259	167862
Livvi-Karelian	8	2331
Oromo	21	24660
Odia	56	9069
Ossetian	454	413
Ottoman Turkish	4	199
Eastern Punjabi	167	10143
Pangasinan	23	25142
Kapampangan	31	26241
Papiamento	76	76728
Picard	139	135669
Pennsylvania German	29	30626
Plautdietsch	18	24961
Palatinate German	105	55230
Pali	7	3487
Pitkern	20	25147
Polish	4202	724870
Piedmontese	189	139636
Western Punjabi	425	7223
Pontic Greek	0	899
Old Prussian	60	74468
Pashto	125	1723
Portuguese	7399	1369298
Brazilian Portuguese	1491	285744
Quechua	64	30757
Kichwa	19	23369
Romagnol	42	52672
Riffian	18	23343
Romansh	135	164049
Finnish Kalo	10	581
Romani	23	25484
Kirundi	20	24805
Romanian	1145	304000
Tarantino	22	25125
Russian	343286	360634
Rusyn	23	753
Aromanian	22	26350
Megleno-Romanian	0	1268
Megleno-Romanian in Cyrillic script	0	189
Megleno-Romanian in Latin script	20	24568
Kinyarwanda	24	24965
Marwari (India)	0	162
Sanskrit	77	2233
Sakha	465	759
Santali	58	24509
Sardinian	144	143152
Sicilian	186	135355
Scots	238	164687
Sindhi	103	1260
Sassarese	17	23657
Southern Kurdish	0	151
Northern Sami	63	48374
Seri	25	23583
Koyraboro Senni	0	165
Sango	20	24755
Samogitian	41	25427
Serbo-Croatian	489	58815
Tashelhit	0	622
Tachelhit in Latin script	20	24563
Tachelhit in Tifinagh script	0	177
Shan	8	207
Shawiya in Latin script	1	17
Sinhala	156	1990
Simple English	12	6853
Kildin Sami	0	326
Pite Sami	27	17811
Ume Sami	15	575
Slovak	743	304217
Saraiki	4	20
Saraiki in Arabic script	1	2
Slovene	5015	2381850
Silesian German	17	23543
Samoan	26	24825
Southern Sami	48	41845
Lule Sami	31	19049
Inari Sami	20	772
Skolt Sami	20	691
Shona	22	25798
Somali	42	25529
Albanian	1907	2514994
Serbian	816	42132
Serbian written in Cyrillic	186	10648
Serbian written in Latin script	256	97952
Sranan Tongo	34	27026
Sirionó	0	493
Swazi	19	22892
Sesotho	22	25018
Saterland Frisian	28	30323
Siberian Tatar	0	6
Sundanese	105	78462
Swedish	5404	1399319
Swahili	394	128596
Silesian	31	28561
Sakizaya	12	611
Tamil	1029	23724
Atayal	0	29
Tulu	12	535
Telugu	595	13090
Tetum	91	49564
Tajik	438	46729
