language_long	num_permuted_baseline	num_permuted_comma	num_permuted_edit_distance	num_permuted_remove_parenthesis	num_permuted_remove_parenthesis_permute_comma
Kabardian in Cyrillic script	0	0	0	0	0
Kabiye	0	0	14	0	0
Cape Verdean Creole	0	0	0	0	0
Kongo	0	73	95	2	75
Khowar	0	0	0	0	0
Gikuyu	0	3	21	0	3
Kirmanjki	0	0	0	0	0
Kwanyama	0	0	20	0	0
Eastern Pwo	0	0	0	0	0
Kazakh	0	192	1749	62	245
Kazakh Arabic alphabets	0	0	272	1	1
Kazakh in China	0	0	164	1	1
Kazakh in Cyrillic script	0	25	239	1	26
Kazakh in Kazakhstan	0	9	137	1	10
Kazakh in Latin script	0	13	257	1	14
Kazakh in Turkey	0	8	159	1	9
Greenlandic	0	5	31	1	6
Khmer	0	1	23	2	3
Kannada	0	81	761	51	131
Korean	0	42	15365	1920	1962
North Korean standard language	0	0	2	0	0
Permyak	0	3	60	0	3
Kanuri	0	1	20	0	1
Karachay-Balkar	0	10	31	0	10
Krio	0	0	0	0	0
Kinaray-a	0	0	17	0	0
Karelian	0	0	0	0	0
Kashmiri	0	0	6	0	0
Kashmiri in Arabic script	0	0	0	0	0
Kashmiri in Devanagari script	0	0	0	0	0
Ripuarian	0	9	32	3	12
Kurdish	0	9	69	16	21
Kurdish Arabic alphabet	0	0	13	0	0
Kurdish in Latin script	0	1	32	0	1
Kumyk	0	0	0	0	0
Komi	0	6	130	0	6
Cornish	0	4	28	1	5
Kyrgyz	0	605	1395	17	620
Latin	0	73	691	170	241
Judaeo-Spanish	0	1	30	0	1
Luxembourgish	0	505	307	147	649
Lak	0	7	11	0	7
Lezgian	0	2	101	0	2
Lingua Franca Nova	0	9	28	1	10
Luganda	0	0	21	0	0
Limburgish	0	302	155	49	349
Ligurian	0	76	147	11	87
Livonian	0	0	3	0	0
Laki	0	0	0	0	0
Ladin	0	1	9	3	4
Lombard	0	13	160	19	32
Lingala	0	0	50	0	0
Lao	0	0	35	3	3
Lozi	0	0	17	0	0
Northern Luri	0	0	12	0	0
Lithuanian	0	338	489	416	752
Latgalian	0	6	26	0	6
Mizo	0	0	17	0	0
Southern Luri	0	0	13	0	0
Latvian	0	66	387	53	117
Classical Chinese	0	0	81	42622	42622
Laz	0	0	17	0	0
Madurese	0	1	0	0	1
Maithili	0	2	29	15	17
Banyumasan	0	6	94	17	23
Moksha	0	35	43	0	35
Malagasy	0	87	227	48	135
Marshallese	0	0	19	0	0
Meadow Mari	0	106	112	0	106
Māori	0	16	29	0	16
Minangkabau	0	79	179	21	100
Macedonian	0	86	467	121	207
Malayalam	0	37	419	102	139
Mongolian	0	87	476	10	97
Meitei	0	0	0	0	0
Mon language spelling	0	0	9	5	5
Moldovan	0	1	34	0	1
Marathi	0	150	376	76	224
Hill Mari	0	107	115	0	107
Malay	0	181	521	127	306
Maltese	0	16	178	84	96
Muscogee	0	1	20	0	1
Mirandese	0	12	40	0	12
Burmese	0	0	486	161	161
Erzya	0	419	458	7	422
Mazanderani	0	0	65	4	4
Nauruan Wikiquote	0	0	20	0	0
Nahuatl	0	3	29	1	4
Southern Min	0	4	1024	27	31
Neapolitan	0	76	135	10	86
Bokmål	0	2757	3289	4117	6134
Low German	0	681	428	392	1055
Dutch Low Saxon	0	98	236	219	304
Nepali	0	2	102	65	67
Newar	0	2	36	9	11
Ndonga	0	0	20	0	0
Nias	0	0	0	0	0
Niuean	0	0	0	0	0
Dutch	0	50184	24848	34119	80830
informal Dutch	0	0	0	0	0
Nynorsk	0	174	1398	181	352
Norwegian	0	0	0	0	0
Northern Thai	0	0	0	0	0
Novial	0	1	22	1	2
N'Ko	0	0	10	0	0
Norman	0	76	103	2	78
Northern Sotho	0	0	23	0	0
Navajo	0	2	29	1	3
Chewa	0	2	20	1	3
Noongar	0	3	7	0	3
Occitan	0	133	259	24	157
Livvi-Karelian	0	2	8	0	2
Oromo	0	0	21	0	0
Odia	0	7	56	6	13
Ossetian	0	248	454	1	249
Ottoman Turkish	0	0	4	0	0
Eastern Punjabi	0	9	167	114	122
Pangasinan	0	3	23	0	3
Kapampangan	0	7	31	4	11
Papiamento	0	66	76	23	88
Picard	0	129	139	12	141
Pennsylvania German	0	5	29	3	8
Plautdietsch	0	2	18	3	5
Palatinate German	0	22	105	215	227
Pali	0	2	7	0	2
Pitkern	0	1	20	0	1
Polish	0	5419	4202	18173	21711
Piedmontese	0	80	189	23	103
Western Punjabi	0	0	425	87	87
Pontic Greek	0	0	0	0	0
Old Prussian	0	65	60	1	66
Pashto	0	0	125	5	5
Portuguese	0	9061	7399	14287	22299
Brazilian Portuguese	0	1431	1491	946	2373
Quechua	0	4	64	5	9
Kichwa	0	0	19	0	0
Romagnol	0	64	42	1	65
Riffian	0	0	18	0	0
Romansh	0	93	135	19	111
Finnish Kalo	0	0	10	0	0
Romani	0	0	23	0	0
Kirundi	0	1	20	0	1
Romanian	0	804	1145	402	1202
Tarantino	0	2	22	0	2
Russian	0	346171	343286	5589	349440
Rusyn	0	7	23	10	17
Aromanian	0	2	22	0	2
Megleno-Romanian	0	0	0	0	0
Megleno-Romanian in Cyrillic script	0	0	0	0	0
Megleno-Romanian in Latin script	0	0	20	0	0
Kinyarwanda	0	0	24	1	1
