language_long	num_names
Ancient Greek	1042
Lezgian	998
Kazakh in China	990
Tibetan	967
Tuvan	945
Kurdish Arabic alphabet	936
Pontic Greek	899
Ossetian	867
Khmer	846
Laki	823
Tatar in Cyrillic script	813
Inari Sami	792
Atikamekw	778
Rusyn	776
Meadow Mari	736
Uyghur	733
Skolt Sami	711
Gan	682
Kabiye	670
Balinese	639
Sakizaya	623
Tashelhit	622
Eastern Canadian (Aboriginal syllabics)	611
Finnish Kalo	591
Ume Sami	590
Goan Konkani	575
Tulu	547
Crimean Tatar	502
Sirionó	493
Russia Buriat	488
Hill Mari	483
Latin American Spanish	468
Algerian Arabic	463
Udmurt	461
Dhivehi	437
Dinka	420
Norwegian	388
simplified Gan	386
Abkhaz	386
Northern Luri	383
traditional Gan	378
Krio	362
Cape Verdean Creole	355
Kabardian	353
Komi	352
Avaric	345
Gilaki	344
Capiznon	338
Karelian	336
Rinconada Bikol	335
Kildin Sami	326
Niuean	325
Aramaic	312
Bishnupriya Manipuri	308
Kashmiri	299
Tajik in Cyrillic script	289
Toba Batak	285
Permyak	278
Awadhi	277
Moksha	275
N'Ko	263
Kalmyk Oirat	258
Karachay-Balkar	240
Uyghur Arabic alphabet	237
Lak	227
Ingush	218
Shan	215
Ottoman Turkish	203
Dzongkha	197
North Korean standard language	194
Goan Konkani in Devanagari script	193
Bakhtiari	190
Megleno-Romanian in Cyrillic script	189
Kirmanjki	189
Southern Balochi	189
Adyghe	189
Crimean Tatar Cyrillic alphabet	184
Talysh	182
Angika	182
Khowar	179
Kashmiri in Devanagari script	178
Nuosu	178
Tachelhit in Tifinagh script	177
Kashmiri in Arabic script	177
Kabardian in Cyrillic script	177
Northern Thai	170
Koyraboro Senni	165
Tunisian Arabic	163
Marwari (India)	162
Southern Kurdish	151
Ladin	151
Western Balochi	151
Adyghe in Cyrillic script	151
Dagbani	131
Swiss German	130
Guianan Creole	126
Mon language spelling	55
formal Spanish	36
Tigrinya	33
Atayal	29
Saraiki	24
Shawiya in Latin script	18
Meitei	12
formal address in German	11
Siberian Tatar	6
informal Dutch	6
Eastern Pwo	6
Uzbek Latin alphabet	5
Standard Moroccan Berber	4
Central Atlas Tamazight	4
Saraiki in Arabic script	3
Ambonese	3
Kumyk	2
formal Hungarian	2
kven	2
Mandailing	2
Uzbek Cyrillic alphabet	1
Nias	1
