language_long	npn_remove_parenthesis
Ume Sami	0
Slovak	382
Saraiki	0
Saraiki in Arabic script	0
Slovene	344
Silesian German	0
Samoan	0
Southern Sami	0
Lule Sami	0
Inari Sami	1
Skolt Sami	0
Shona	0
Somali	2
Albanian	2816
Serbian	425
Serbian written in Cyrillic	2
Serbian written in Latin script	3
Sranan Tongo	22
Sirionó	0
Swazi	0
Sesotho	0
Saterland Frisian	0
Siberian Tatar	0
Sundanese	23
Swedish	10102
Swahili	21
Silesian	1
Sakizaya	1
Tamil	496
Atayal	0
Tulu	0
Telugu	62
Tetum	1
Tajik	11
Tajik in Cyrillic script	0
Tajik in Latin script	0
Thai	164
Tigrinya	0
Turkmen	1
Tagalog	53
Talysh	0
Tswana	0
Tongan	5
Tok Pisin	0
Turkish	964
Turoyo	0
Tsonga	0
Tatar	54
Tatar in Cyrillic script	5
Tatar in Latin script	0
Tumbuka	0
Twi	1
Tahitian	4
Tuvan	3
Central Atlas Tamazight	0
Udmurt	1
Uyghur	8
Uyghur Arabic alphabet	0
Uyghur Latin alphabet	0
Ukrainian	2741
Urdu	266
Uzbek	42
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	0
Venda	0
Venetian	17
Veps	1
Vietnamese	1998
West Flemish	18
Main-Franconian	4
Volapük	76
Votic	0
Võro	1
Walloon	13
Waray	11
Wolof	2
Wu Chinese	226
Kalmyk Oirat	0
Xhosa	0
Mingrelian	10
Yiddish	13
Yoruba	18
Cantonese	127
Zhuang	1
Zeelandic	0
Standard Moroccan Berber	0
Chinese	46045
Putonghua	1071
Simplified Chinese	28
Traditional Chinese	43777
Chinese (Hong Kong)	8
Chinese in Macau	2
Malaysian Mandarin	1
Singaporean Mandarin	2
Taiwanese Mandarin	64
Zulu	3
