Name Loader: TransliteratedNameLoader(language_column='language', debug_mode=False)
Loading names using p_map and 16 workers...
[compute_crossing_alignments] Creating pooled corpus...
[FastAligner] Saving alignment training data to: /tmp/tmptmvmry0y
[FastAligner] Saving fast_align output to: /tmp/tmpvi45a39g
[compute_crossing_alignments] Writing names out to ./data/name_reversal/permuted_names_by_model/remove_parenthesis_permute_comma:
[compute_crossing_alignments] Avg. number of crossing alignments per language:
global	0.3019412075622502
Afar	0.020832529609197178
Abkhaz	0.9689119170984456
Ambonese	0.0
Acehnese	0.03279442373783823
Adyghe	0.7354497354497355
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.280419016921837
Tunisian Arabic in Latin script	0.08839779005524862
Afrikaans	0.19972375690607735
Akan Wiktionary	0.02598870056497175
Gheg Albanian	0.015268144138047708
Swiss German	0.2230769230769231
Amharic	1.275273224043716
Aragonese	0.19573534438086418
Old English	0.05486257928118393
Angika	0.0989010989010989
Arabic	1.176180113826582
Aramaic	0.9230769230769231
Mapudungun	0.018013797802572184
Algerian Arabic	1.1166306695464363
Moroccan Arabic	1.5248072741648546
Egyptian Arabic	0.7307962319235004
Assamese	0.5570725156669651
Asturian	0.17553489096295616
Atikamekw	0.07197943444730077
Avaric	1.6869565217391305
Kotava	0.5270506108202443
Awadhi	0.5776173285198556
Aymara	0.060772675964024324
Azerbaijani	0.6042487460298176
South Azerbaijani	1.0042451578668081
Bashkir language	6.6339335959482275
Balinese	0.3145539906103286
Bavarian	0.14853936446444913
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.0883367839889579
Southern Balochi	0.08465608465608465
Central Bikol	0.04473522944378357
Belarusian	2.5999726327312533
Taraškievica	1.466040633120718
Bulgarian	2.4342256244203777
Western Balochi	0.033112582781456956
Bhojpuri	1.1190975865687303
Bislama Wiktionary	0.023051923512961984
Banjar	0.027318949392765877
Bambara	0.12303204719180133
Bengali	1.2426166984495481
Tibetan	1.6825232678386763
Bishnupriya Manipuri	0.8766233766233766
Bakhtiari	0.12105263157894737
Breton	0.20562136240675466
Brahui language	0.014526488210698737
Bosnian	0.2288505629627466
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.03139550609555826
Russia Buriat	1.1741803278688525
Catalan	0.24716659305238678
Zamboanga Chavacano	0.024061413894511705
Min Dong	0.0581337988084848
Chechen	1.6753543667123914
Cebuano	0.11205615727482182
Chamorro	0.020552194819295797
Choctaw	0.020068450528935907
Cherokee	0.017920838884352572
Cheyenne	0.02079131109387122
Sorani	1.6611111111111112
Corsican	0.14257833623376495
Capiznon	0.09763313609467456
Cree Wikiquote	0.01994924848721452
Crimean Tatar	1.3067729083665338
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.039940204683966425
Czech	0.42173142488097204
Kashubian	0.03351042092357989
Old Church Slavonic	0.023902507881240296
Chuvash	7.231876332622601
Welsh	0.1447037135857569
Danish	0.27902173002010777
Dagbani	0.09923664122137404
German	0.23859376680560407
Austrian German	0.11297239946801357
Swiss Standard German	0.19066402724811504
formal address in German	0.36363636363636365
Dinka	0.24047619047619048
Zazaki	0.06500851374361469
Lower Sorbian	0.16435628038262506
Kadazandusun	0.016930347236490652
Doteli	0.9201388888888888
Dhivehi	0.9473684210526315
Dzongkha	0.3604060913705584
Ewe	0.1264047496440796
Emilian	0.0722256664600124
Modern Greek	2.1254919983973224
Emilian-Romagnol	0.041249670792731105
English	0.2202095692401274
Canadian English	0.37552261068046733
British English	0.35035418236623966
Esperanto	0.3273535993516839
Spanish	0.19073851859932367
Latin American Spanish	0.6068376068376068
formal Spanish	0.19444444444444445
Estonian	0.2716302974568769
Basque	0.2559535061286365
Extremaduran	0.052981691882027435
Persian	1.0278468592745147
Fula	0.022745517795022745
Finnish	0.26297594385748063
Meänkieli	0.05779340721795965
Fijian	0.021892790280059603
kven	0.0
Faroese	0.05213615670009559
French	0.25120915705500196
Louisiana French	0.1689856455817027
Franco-Provençal	0.11149976560527929
North Frisian	0.17360192423331328
Friulian	0.11489206556580127
West Frisian	0.13272210048821742
Irish	0.03205510367140354
Gagauz	0.024525984493743762
Gan	0.6744868035190615
simplified Gan	0.3626943005181347
traditional Gan	0.3888888888888889
Guianan Creole	0.8492063492063492
Scottish Gaelic	0.14257627507821244
Galician	0.24774101280634467
Gilaki	0.9011627906976745
Guarani	0.0283952496954933
Goan Konkani	0.9582608695652174
Goan Konkani in Devanagari script	0.45077720207253885
Goan Konkani in Latin script	0.11
Gorontalo	0.054591604788604337
Gothic	0.021617941188986765
Ancient Greek	1.6026871401151632
Alemannic	0.21010289109863842
Gujarati	1.2748815165876777
Manx	0.03393186318017342
Hausa	0.05211829523146096
Hakka	0.06647885388394545
Hawaiian	0.02305724965571513
Hebrew	1.5598428362295866
Hindi	1.508816120906801
Fiji Hindi	0.04788323342145437
Fiji Hindi in Latin script	0.01974711208242273
Hiligaynon	0.06548933038999265
Hiri Motu	0.02053196453569762
Croatian	0.2604780100397093
Hunsrik	0.08787346221441125
Upper Sorbian	0.16751218682689037
Haitian Creole	0.08228669296242475
Hungarian	0.8030677825774395
formal Hungarian	0.0
Armenian	1.2300087907342576
Western Armenian	1.4687640449438202
Herero	0.020028835288158048
Interlingua	0.11565485472567259
Indonesian	0.2119801615227372
Interlingue	0.11091824804388883
Igbo	0.03125575909476245
Nuosu	0.11797752808988764
Inupiat	0.020019436345966958
Eastern Canadian (Aboriginal syllabics)	0.054009819967266774
