language_code	type	count	language
ceb	PER	49487	Cebuano
ch	LOC	823	Chamorro
ch	ORG	1385	Chamorro
ch	PER	27174	Chamorro
cho	LOC	427	Choctaw
cho	ORG	1018	Choctaw
cho	PER	27091	Choctaw
chr	LOC	235	Cherokee
chr	ORG	195	Cherokee
chr	PER	111	Cherokee
chy	LOC	690	Cheyenne
chy	ORG	1206	Cheyenne
chy	PER	27165	Cheyenne
ckb	LOC	6683	Sorani
ckb	ORG	3234	Sorani
ckb	PER	6797	Sorani
co	LOC	83855	Corsican
co	ORG	55977	Corsican
co	PER	222037	Corsican
cps	LOC	1677	Capiznon
cps	ORG	1591	Capiznon
cps	PER	700	Capiznon
cr	LOC	356	Cree
cr	ORG	928	Cree
cr	PER	26703	Cree
crh	LOC	12368	Crimean Tatar
crh	ORG	2371	Crimean Tatar
crh	PER	28285	Crimean Tatar
cs	LOC	299839	Czech
cs	ORG	157822	Czech
cs	PER	824979	Czech
csb	LOC	2302	Kashubian
csb	ORG	1728	Kashubian
csb	PER	28390	Kashubian
cu	LOC	381	Slavonic documents
cu	ORG	142	Slavonic documents
cu	PER	93	Slavonic documents
cv	LOC	17190	Chuvash
cv	ORG	2592	Chuvash
cv	PER	4919	Chuvash
cy	LOC	193426	Welsh
cy	ORG	96132	Welsh
cy	PER	516539	Welsh
da	LOC	235230	Danish
da	ORG	135935	Danish
da	PER	1468934	Danish
dag	LOC	2341	Dagbani
dag	ORG	1686	Dagbani
dag	PER	5758	Dagbani
de	LOC	1027861	German
de	ORG	581509	German
de	PER	3765193	German
din	LOC	181	Dinka
din	ORG	180	Dinka
din	PER	779	Dinka
diq	LOC	20195	Zazaki
diq	ORG	16731	Zazaki
diq	PER	34521	Zazaki
dsb	LOC	3195	Lower Sorbian
dsb	ORG	2368	Lower Sorbian
dsb	PER	66857	Lower Sorbian
dtp	LOC	218	Kadazandusun
dtp	ORG	778	Kadazandusun
dtp	PER	25734	Kadazandusun
dty	LOC	946	Doteli
dty	ORG	503	Doteli
dty	PER	1022	Doteli
dua	ORG	1	Duala
dv	LOC	592	Dhivehi
dv	ORG	334	Dhivehi
dv	PER	248	Dhivehi
dz	LOC	147	Dzongkha
dz	ORG	113	Dzongkha
dz	PER	20	Dzongkha
ee	LOC	550	Ewe
ee	ORG	1008	Ewe
ee	PER	35573	Ewe
egl	LOC	52	Emilian
egl	ORG	334	Emilian
egl	PER	4595	Emilian
el	LOC	54080	Greek
el	ORG	39275	Greek
el	PER	99106	Greek
eml	LOC	1810	Emilian-Romagnol
eml	ORG	2685	Emilian-Romagnol
eml	PER	32885	Emilian-Romagnol
en	LOC	3911397	English
en	ORG	2294386	English
en	PER	9362295	English
eo	LOC	153667	Esperanto
eo	ORG	123036	Esperanto
eo	PER	239305	Esperanto
es	LOC	659890	Spanish
es	ORG	463272	Spanish
es	PER	5094738	Spanish
et	LOC	117196	Estonian
et	ORG	78101	Estonian
et	PER	281896	Estonian
eto	ORG	1	eto
eu	LOC	280351	Basque
eu	ORG	140946	Basque
eu	PER	326608	Basque
ewo	ORG	1	ewo
ext	LOC	1711	Extremaduran
ext	ORG	1919	Extremaduran
ext	PER	36456	Extremaduran
fa	LOC	269369	Persian
fa	ORG	124279	Persian
fa	PER	237312	Persian
ff	LOC	687	Fula
ff	ORG	1244	Fula
ff	PER	28520	Fula
fi	LOC	274900	Finnish
fi	ORG	157560	Finnish
fi	PER	1107284	Finnish
fit	LOC	614	Meänkieli
fit	ORG	1450	Meänkieli
fit	PER	31088	Meänkieli
fj	LOC	2332	Fijian
fj	ORG	2674	Fijian
fj	PER	28525	Fijian
fkv	LOC	987	Kven
fkv	ORG	8	Kven
fkv	PER	40	Kven
fmp	ORG	1	fmp
fo	LOC	41869	Faroese
fo	ORG	43369	Faroese
fo	PER	66285	Faroese
fr	LOC	921091	French
fr	ORG	663863	French
fr	PER	3417155	French
frc	LOC	39119	Louisiana French
frc	ORG	38661	Louisiana French
frc	PER	59482	Louisiana French
frp	LOC	68886	Franco-Provençal
frp	ORG	50760	Franco-Provençal
frp	PER	119451	Franco-Provençal
frr	LOC	7304	North Frisian
frr	ORG	3147	North Frisian
frr	PER	69585	North Frisian
fur	LOC	69837	Friulian
fur	ORG	51423	Friulian
fur	PER	140316	Friulian
fy	LOC	7828	West Frisian
fy	ORG	6148	West Frisian
fy	PER	55439	West Frisian
ga	LOC	256654	Irish
ga	ORG	61801	Irish
ga	PER	1654432	Irish
gag	LOC	1499	Gagauz
gag	ORG	1398	Gagauz
gag	PER	27481	Gagauz
gan	LOC	61431	Gan
gan	ORG	1322	Gan
gan	PER	932	Gan
gcr	LOC	441	Guianan Creole
gcr	ORG	301	Guianan Creole
gcr	PER	134	Guianan Creole
gd	LOC	87021	Scottish Gaelic
gd	ORG	54013	Scottish Gaelic
gd	PER	148359	Scottish Gaelic
gl	LOC	133589	Galician
gl	ORG	80018	Galician
gl	PER	560004	Galician
glk	LOC	1253	Gilaki
glk	ORG	99	Gilaki
glk	PER	191	Gilaki
gn	LOC	1648	Guarani
gn	ORG	1893	Guarani
gn	PER	27768	Guarani
gom	LOC	769	Goan Konkani
gom	ORG	779	Goan Konkani
gom	PER	2152	Goan Konkani
gor	LOC	16806	Gorontalo
gor	ORG	1779	Gorontalo
gor	PER	27230	Gorontalo
got	LOC	402	Gothic
got	ORG	328	Gothic
got	PER	182	Gothic
grc	LOC	318	Ancient Greek
grc	ORG	163	Ancient Greek
grc	PER	1009	Ancient Greek
gsw	LOC	85432	Alemannic
gsw	ORG	55918	Alemannic
gsw	PER	202568	Alemannic
gu	LOC	18304	Gujarati
gu	ORG	4860	Gujarati
gu	PER	4328	Gujarati
guc	LOC	6	Wayuu
guc	ORG	7	Wayuu
guc	PER	18	Wayuu
gur	LOC	2	gur
gur	PER	7	gur
gv	LOC	2078	Manx
gv	ORG	1953	Manx
gv	PER	31876	Manx
ha	LOC	5868	Hausa
ha	ORG	3942	Hausa
ha	PER	36502	Hausa
hak	LOC	4237	Hakka
hak	ORG	2806	Hakka
hak	PER	30316	Hakka
haw	LOC	2207	Hawaiian
haw	ORG	2622	Hawaiian
haw	PER	26994	Hawaiian
he	LOC	51303	Hebrew
he	ORG	56302	Hebrew
he	PER	156335	Hebrew
hi	LOC	30371	Hindi
hi	ORG	13993	Hindi
hi	PER	30001	Hindi
hif	LOC	327	Fiji Hindi
hif	ORG	1004	Fiji Hindi
hif	PER	27032	Fiji Hindi
hil	LOC	1815	Hiligaynon
hil	ORG	1679	Hiligaynon
hil	PER	1824	Hiligaynon
ho	LOC	1998	Hiri Motu
ho	ORG	2477	Hiri Motu
ho	PER	27095	Hiri Motu
hr	LOC	129401	Croatian
hr	ORG	76344	Croatian
hr	PER	220271	Croatian
hrx	LOC	78	Hunsrik
hrx	ORG	242	Hunsrik
hrx	PER	2085	Hunsrik
hsb	LOC	10286	Upper Sorbian
hsb	ORG	6005	Upper Sorbian
hsb	PER	80731	Upper Sorbian
ht	LOC	24039	Haitian Creole
ht	ORG	22131	Haitian Creole
ht	PER	42413	Haitian Creole
hu	LOC	184675	Hungarian
hu	ORG	155108	Hungarian
hu	PER	825837	Hungarian
hy	LOC	95833	Armenian
hy	ORG	43705	Armenian
hy	PER	72238	Armenian
hyw	LOC	1849	Western Armenian
hyw	ORG	1705	Western Armenian
hyw	PER	2794	Western Armenian
hz	LOC	427	Herero
hz	ORG	1017	Herero
hz	PER	27041	Herero
ia	LOC	87730	Interlingua
ia	ORG	58532	Interlingua
ia	PER	119804	Interlingua
id	LOC	277237	Indonesian
id	ORG	126894	Indonesian
id	PER	369690	Indonesian
ie	LOC	82959	Interlingue
ie	ORG	53595	Interlingue
ie	PER	119509	Interlingue
ig	LOC	2503	Igbo
ig	ORG	3260	Igbo
ig	PER	29400	Igbo
ii	LOC	22	Nuosu
ii	ORG	2	Nuosu
ik	LOC	679	Inupiaq
ik	ORG	1196	Inupiaq
ik	PER	27104	Inupiaq
ike	LOC	360	ike
ike	ORG	978	ike
ike	PER	26943	ike
ilo	LOC	4180	Ilocano
ilo	ORG	3933	Ilocano
ilo	PER	33634	Ilocano
inh	LOC	299	Ingush
inh	ORG	134	Ingush
inh	PER	53	Ingush
io	LOC	87571	Ido
io	ORG	58493	Ido
io	PER	157097	Ido
is	LOC	83540	Icelandic
is	ORG	56570	Icelandic
is	PER	141800	Icelandic
it	LOC	439590	Italian
it	ORG	442969	Italian
it	PER	2213354	Italian
iu	LOC	233	Inuktitut
iu	ORG	148	Inuktitut
iu	PER	75	Inuktitut
ja	LOC	188065	Japanese
ja	ORG	232477	Japanese
ja	PER	541515	Japanese
jam	LOC	41325	Jamaican Creole
jam	ORG	41233	Jamaican Creole
jam	PER	82423	Jamaican Creole
jbo	LOC	674	Lojban
jbo	ORG	1187	Lojban
jbo	PER	27521	Lojban
jut	LOC	100	Jutlandic
jut	ORG	148	Jutlandic
jut	PER	38045	Jutlandic
jv	LOC	37347	Javanese
jv	ORG	21910	Javanese
jv	PER	92497	Javanese
ka	LOC	46961	მთავარი გვერდი
ka	ORG	21666	მთავარი გვერდი
ka	PER	27785	მთავარი გვერდი
