language_code	type	count	language
sc	LOC	86873	Sardinian
sc	ORG	52837	Sardinian
sc	PER	246178	Sardinian
scn	LOC	88322	Sicilian
scn	ORG	59736	Sicilian
scn	PER	144318	Sicilian
sco	LOC	123110	Scots
sco	ORG	63338	Scots
sco	PER	208127	Scots
sd	LOC	1620	Sindhi
sd	ORG	883	Sindhi
sd	PER	1395	Sindhi
sdc	LOC	1727	Sassarese
sdc	ORG	741	Sassarese
sdc	PER	26066	Sassarese
se	LOC	14661	Northern Sami
se	ORG	7583	Northern Sami
se	PER	53488	Northern Sami
sei	LOC	190	Seri
sei	ORG	710	Seri
sei	PER	25954	Seri
ses	LOC	3	Koyraboro Senni
ses	ORG	27	Koyraboro Senni
ses	PER	518	Koyraboro Senni
sg	LOC	626	Sango
sg	ORG	1100	Sango
sg	PER	26136	Sango
sgs	LOC	7615	Samogitian
sgs	ORG	1925	Samogitian
sgs	PER	27841	Samogitian
sh	LOC	198604	Serbo-Croatian
sh	ORG	68157	Serbo-Croatian
sh	PER	63596	Serbo-Croatian
shi	LOC	650	Tashelhit
shi	ORG	1228	Tashelhit
shi	PER	26849	Tashelhit
shn	LOC	1019	Shan
shn	ORG	323	Shan
shn	PER	83	Shan
shy	LOC	42	Shawiya
shy	ORG	32	Shawiya
shy	PER	38	Shawiya
si	LOC	11950	Sinhala
si	ORG	4921	Sinhala
si	PER	2130	Sinhala
simple	LOC	219	Simple English
simple	ORG	388	Simple English
simple	PER	6738	Simple English
sjd	LOC	50	Kildin Sami
sjd	ORG	51	Kildin Sami
sjd	PER	571	Kildin Sami
sje	LOC	139	Pite Sami
sje	ORG	257	Pite Sami
sje	PER	55441	Pite Sami
sju	LOC	73	Ume Sami
sju	ORG	125	Ume Sami
sju	PER	1104	Ume Sami
sk	LOC	212157	Slovak
sk	ORG	95528	Slovak
sk	PER	335706	Slovak
skr	LOC	98	Saraiki
skr	ORG	52	Saraiki
skr	PER	110	Saraiki
sl	LOC	157408	Slovene
sl	ORG	41764	Slovene
sl	PER	2494924	Slovene
sli	LOC	184	Silesian German
sli	ORG	732	Silesian German
sli	PER	25875	Silesian German
sm	LOC	3706	Samoan
sm	ORG	2754	Samoan
sm	PER	26247	Samoan
sma	LOC	1117	Southern Sami
sma	ORG	1082	Southern Sami
sma	PER	44095	Southern Sami
smj	LOC	756	Lule Sami
smj	ORG	422	Lule Sami
smj	PER	20306	Lule Sami
smn	LOC	1935	Inari Sami
smn	ORG	1634	Inari Sami
smn	PER	1437	Inari Sami
sms	LOC	523	Skolt Sami
sms	ORG	736	Skolt Sami
sms	PER	1231	Skolt Sami
sn	LOC	1072	Shona
sn	ORG	1338	Shona
sn	PER	27247	Shona
so	LOC	1597	Somali
so	ORG	1985	Somali
so	PER	27159	Somali
sq	LOC	44110	Albanian
sq	ORG	23329	Albanian
sq	PER	2787999	Albanian
sr	LOC	316237	Serbian
sr	ORG	168975	Serbian
sr	PER	165973	Serbian
srn	LOC	884	Sranan Tongo
srn	ORG	1359	Sranan Tongo
srn	PER	28505	Sranan Tongo
srq	LOC	5	Sirionó
srq	ORG	101	Sirionó
srq	PER	850	Sirionó
ss	LOC	511	Swazi
ss	ORG	1096	Swazi
ss	PER	24258	Swazi
st	LOC	934	Sesotho
st	ORG	1185	Sesotho
st	PER	26420	Sesotho
stq	LOC	2148	Saterland Frisian
stq	ORG	2334	Saterland Frisian
stq	PER	33000	Saterland Frisian
sty	ORG	2	Siberian Tatar
sty	PER	6	Siberian Tatar
su	LOC	24787	Sundanese
su	ORG	18639	Sundanese
su	PER	82641	Sundanese
sv	LOC	859498	Swedish
sv	ORG	231826	Swedish
sv	PER	1632609	Swedish
sw	LOC	97848	Swahili
sw	ORG	56824	Swahili
sw	PER	140181	Swahili
szl	LOC	8898	Silesian
szl	ORG	5586	Silesian
szl	PER	31116	Silesian
szy	LOC	1873	Sakizaya
szy	ORG	1656	Sakizaya
szy	PER	650	Sakizaya
ta	LOC	38786	Tamil
ta	ORG	22170	Tamil
ta	PER	28775	Tamil
tay	LOC	280	Atayal
tay	ORG	147	Atayal
tay	PER	445	Atayal
tcy	LOC	172	Tulu
tcy	ORG	108	Tulu
tcy	PER	407	Tulu
te	LOC	26272	Telugu
te	ORG	11195	Telugu
te	PER	14923	Telugu
tet	LOC	4019	Tetum
tet	ORG	2769	Tetum
tet	PER	51465	Tetum
tg	LOC	28660	Tajik
tg	ORG	15774	Tajik
tg	PER	75683	Tajik
th	LOC	33799	Thai
th	ORG	26279	Thai
th	PER	31761	Thai
ti	LOC	131	Tigrinya
ti	ORG	118	Tigrinya
ti	PER	39	Tigrinya
tk	LOC	1513	Turkmen
tk	ORG	1508	Turkmen
tk	PER	25681	Turkmen
tl	LOC	84913	Tagalog
tl	ORG	19758	Tagalog
tl	PER	67667	Tagalog
tly	LOC	5	Talysh
tly	ORG	23	Talysh
tly	PER	252	Talysh
tn	LOC	854	Tswana
tn	ORG	1104	Tswana
tn	PER	26206	Tswana
to	LOC	747	Tongan
to	ORG	1047	Tongan
to	PER	26428	Tongan
tpi	LOC	2771	Tok Pisin
tpi	ORG	3135	Tok Pisin
tpi	PER	28532	Tok Pisin
tr	LOC	217243	Turkish
tr	ORG	104725	Turkish
tr	PER	264213	Turkish
tru	LOC	178	Turoyo
tru	ORG	641	Turoyo
tru	PER	24528	Turoyo
trv	LOC	145	Seediq
trv	ORG	106	Seediq
trv	PER	122	Seediq
ts	LOC	641	Tsonga
ts	ORG	1175	Tsonga
ts	PER	26182	Tsonga
tt	LOC	193681	Tatar
tt	ORG	95367	Tatar
tt	PER	60302	Tatar
tum	LOC	934	Tumbuka
tum	ORG	1416	Tumbuka
tum	PER	26226	Tumbuka
tw	LOC	894	Twi
tw	ORG	1294	Twi
tw	PER	24308	Twi
ty	LOC	5177	Tahitian
ty	ORG	7719	Tahitian
ty	PER	67620	Tahitian
tyv	LOC	191	Tuvan
tyv	ORG	123	Tuvan
tyv	PER	877	Tuvan
tzm	LOC	6	Central Atlas Tamazight
tzm	ORG	5	Central Atlas Tamazight
tzm	PER	3	Central Atlas Tamazight
udm	LOC	1434	Udmurt
udm	ORG	559	Udmurt
udm	PER	351	Udmurt
ug	LOC	1807	Uyghur
ug	ORG	1762	Uyghur
ug	PER	26935	Uyghur
uk	LOC	312584	Ukrainian
uk	ORG	148782	Ukrainian
uk	PER	193220	Ukrainian
ur	LOC	90660	Urdu
ur	ORG	35805	Urdu
ur	PER	22785	Urdu
uz	LOC	4	Uzbek
uz	ORG	1	Uzbek
uz	PER	195	Uzbek
ve	LOC	680	Venda
ve	ORG	1047	Venda
ve	PER	26348	Venda
vec	LOC	144581	Venetian
vec	ORG	103648	Venetian
vec	PER	147289	Venetian
vep	LOC	3300	Veps
vep	ORG	2009	Veps
vep	PER	27248	Veps
vi	LOC	253587	Vietnamese
vi	ORG	129018	Vietnamese
vi	PER	185408	Vietnamese
vls	LOC	80007	West Flemish
vls	ORG	51453	West Flemish
vls	PER	143044	West Flemish
vmf	LOC	39368	Main-Franconian
vmf	ORG	39292	Main-Franconian
vmf	PER	86294	Main-Franconian
vo	LOC	144976	Volapük
vo	ORG	95233	Volapük
vo	PER	123521	Volapük
vot	LOC	346	Votic
vot	ORG	796	Votic
vot	PER	25905	Votic
vro	LOC	1769	Estonian
vro	ORG	776	Estonian
vro	PER	3726	Estonian
wa	LOC	80792	Walloon
wa	ORG	51558	Walloon
wa	PER	148145	Walloon
war	LOC	193119	Waray
war	ORG	92731	Waray
war	PER	47466	Waray
wls	LOC	5	Wallisian
wls	ORG	4	Wallisian
wls	PER	57	Wallisian
wo	LOC	78770	Wolof
wo	ORG	50087	Wolof
wo	PER	113955	Wolof
wuu	LOC	38620	Wu Chinese
wuu	ORG	6309	Wu Chinese
wuu	PER	10006	Wu Chinese
xal	LOC	776	Kalmyk Oirat
xal	ORG	305	Kalmyk Oirat
xal	PER	81	Kalmyk Oirat
xh	LOC	2317	Xhosa
xh	ORG	2649	Xhosa
xh	PER	27657	Xhosa
xmf	LOC	4935	Mingrelian
xmf	ORG	1511	Mingrelian
xmf	PER	2884	Mingrelian
xsy	LOC	55	Saisiyat
yi	LOC	2630	Yiddish
yi	ORG	1906	Yiddish
yi	PER	3327	Yiddish
yo	LOC	37022	Yoruba
yo	ORG	5521	Yoruba
yo	PER	231600	Yoruba
yue	LOC	26272	Cantonese
yue	ORG	22673	Cantonese
yue	PER	26613	Cantonese
zea	LOC	3292	Zeelandic
zea	ORG	3823	Zeelandic
zea	PER	33025	Zeelandic
zgh	LOC	6	Standard Moroccan Berber
zgh	ORG	6	Standard Moroccan Berber
zgh	PER	11	Standard Moroccan Berber
zh	LOC	786153	Chinese
zh	ORG	573016	Chinese
zh	PER	1612298	Chinese
zu	LOC	87567	Zulu
zu	ORG	52900	Zulu
zu	PER	116132	Zulu
