count,language_code,type
35501,wuu,LOC
34876,yo,PER
34269,he,ORG
33970,ext,PER
33788,jv,LOC
33237,nn,ORG
33130,uz,PER
33010,ee,PER
32854,diq,PER
32087,be-tarask,LOC
31902,th,LOC
31577,ha,PER
31390,lfn,PER
31234,ilo,PER
30815,qu,PER
30651,pdc,PER
30586,az,LOC
30567,tt,PER
30529,zea,PER
30371,eml,PER
30347,stq,PER
30250,tr,ORG
29677,bug,LOC
29481,sr-ec,LOC
29291,gv,PER
29241,ksh,PER
29233,zh-my,LOC
29153,ro,ORG
29102,hak,PER
28586,szl,PER
28376,ang,PER
28196,gan,LOC
28165,eo,ORG
28148,fit,PER
28019,mwl,PER
27962,gan-hans,LOC
27945,lad,PER
27737,bcl,PER
27577,hi,LOC
27459,ay,PER
27333,ku,PER
27127,ig,PER
27075,nah,PER
27057,srn,PER
26950,hi,PER
26940,kk-latn,PER
26912,csb,PER
26855,hif,PER
26546,ak,PER
26458,bi,PER
26394,gor,PER
26369,rup,PER
26356,kaa,PER
26350,cdo,PER
26341,th,PER
26269,pam,PER
26267,gn,PER
26220,fa,ORG
26213,nov,PER
26179,cbk-zam,PER
26171,tpi,PER
26169,fj,PER
26155,ff,PER
26135,sk,ORG
26085,crh-latn,PER
26050,gag,PER
26047,jbo,PER
25917,aa,PER
25816,sn,PER
25784,ch,PER
25774,chy,PER
25754,vep,PER
25723,ki,PER
25721,ik,PER
25712,ho,PER
25707,cho,PER
25669,zh-tw,PER
25659,hz,PER
25620,hif-latn,PER
25612,cr,PER
25559,so,PER
25534,ike-latn,PER
25505,rmy,PER
25459,sgs,PER
25412,haw,PER
25303,xh,PER
25292,te,LOC
25220,ln,PER
25164,pih,PER
25162,pag,PER
25159,mus,PER
25144,roa-tara,PER
25042,na,PER
25040,to,PER
25036,st,PER
25032,tg-latn,PER
24986,rw,PER
24977,pdt,PER
24967,ve,PER
24888,kw,PER
24860,tum,PER
24848,sm,PER
24836,tn,PER
24822,rn,PER
24815,ny,PER
24811,ts,PER
24800,nv,PER
24793,nso,PER
24772,sg,PER
24767,kr,PER
24758,za,PER
24751,kj,PER
24751,ka,PER
24740,ltg,PER
24729,kk-tr,PER
24718,ta,PER
24679,om,PER
24643,ng,PER
24595,tt-latn,PER
24594,ug-latn,PER
24585,ruq-latn,PER
24580,shi-latn,PER
24565,sat,PER
24506,vot,PER
24374,ml,PER
24365,ku-latn,PER
24332,dtp,PER
24249,tk,PER
24214,mk,LOC
24205,lg,PER
24113,lmo,LOC
23955,my,PER
23672,sdc,PER
23642,aln,PER
23605,sei,PER
23558,sli,PER
23545,tg,LOC
23498,got,PER
23480,arn,PER
23386,qug,PER
23359,rif,PER
23356,krj,PER
23267,chr,PER
23260,iu,PER
23237,loz,PER
23229,lus,PER
23198,brh,PER
23189,lzz,PER
23184,tru,PER
23086,gl,ORG
23079,bs,LOC
23038,ht,LOC
22989,yue,PER
22951,et,ORG
22944,ky,LOC
22909,ss,PER
22893,tw,PER
22882,en-ca,ORG
22646,mh,PER
22619,eu,ORG
22210,pt-br,ORG
22157,mo,PER
21949,hr,ORG
21794,zh-cn,ORG
21653,lo,PER
21481,su,LOC
21253,cu,PER
21234,yue,LOC
20701,zh-tw,LOC
20673,vi,ORG
20337,el,ORG
20116,cy,ORG
20054,bjn,LOC
19668,sl,ORG
19492,ur,PER
19285,zh-sg,PER
19141,diq,LOC
19078,smj,PER
18991,ml,ORG
18879,min,ORG
17884,gu,LOC
17837,sje,PER
17532,mk,PER
17517,kn,LOC
17212,jv,ORG
16900,be-tarask,PER
16885,ba,LOC
16449,mr,LOC
16310,pnb,LOC
16265,lt,ORG
16176,su,ORG
15982,bpy,LOC
15929,th,ORG
15572,ms,ORG
14963,sr,ORG
14922,bn,ORG
14486,new,LOC
14421,be,ORG
14084,mr,PER
13772,hy,ORG
13665,te,PER
13612,se,LOC
13174,gor,LOC
13055,br,ORG
12757,cv,LOC
12743,zh-hk,ORG
12606,arz,ORG
12587,kk,PER
12536,bg,ORG
12323,ga,ORG
11782,si,LOC
11158,luz,PER
10892,map-bms,LOC
10881,de-ch,ORG
10822,sr-ec,PER
10485,ku,LOC
10299,pa,PER
10271,nds,ORG
10255,an,ORG
10115,lb,ORG
10079,oc,ORG
10066,lv,ORG
10050,is,ORG
9995,af,ORG
9666,wuu,PER
9630,sco,ORG
9611,co,ORG
9352,de-at,ORG
9238,sr-el,ORG
9122,or,PER
8935,bar,ORG
8600,kn,PER
8503,rup,LOC
8245,roa-tara,LOC
8233,zh-tw,ORG
8071,hi,ORG
7914,az,ORG
7811,gd,ORG
7630,pnb,PER
7440,ka,ORG
7300,gsw,ORG
7295,szl,LOC
7277,be-tarask,ORG
7201,sq,ORG
7164,fy,LOC
7109,sh,ORG
7103,ba,PER
7016,hsb,LOC
6915,sgs,LOC
6863,simple,PER
6849,sw,ORG
6818,ur,ORG
6770,scn,ORG
