language_code	language	script_entropy
arz	Egyptian Arabic	0.009
sr-el	Serbian (Latin script)	0.009
ia	Interlingua	0.009
af	Afrikaans	0.009
sju	Ume Sami	0.009
vi	Vietnamese	0.008
hak	Hakka	0.008
br	Breton	0.008
nap	Neapolitan	0.008
nds-nl	Dutch Low Saxon	0.008
vls	West Flemish	0.008
bs	Bosnian	0.008
li	Limburgish	0.008
tr	Turkish	0.008
nrm	Norman	0.008
wo	Wolof	0.008
frp	Franco-Provençal	0.008
ceb	Cebuano	0.008
rm	Romansh	0.008
et	Estonian	0.008
cs	Czech	0.008
eo	Esperanto	0.008
en-gb	British English	0.008
en-ca	Canadian English	0.008
sco	Scots	0.008
sk	Slovak	0.008
wa	Walloon	0.008
gd	Scottish Gaelic	0.008
kg	Kongo	0.008
an	Aragonese	0.008
lb	Luxembourgish	0.008
it	Italian	0.008
lij	Ligurian	0.008
ie	Interlingue	0.008
co	Corsican	0.007
io	Ido	0.007
sw	Swahili	0.007
hif	Fiji Hindi	0.007
sc	Sardinian	0.007
cdo	Min Dong	0.007
nl	Dutch	0.007
eu	Basque	0.007
ms	Malay	0.007
lad	Judaeo-Spanish	0.007
gsw	Alemannic	0.007
crh	Crimean Tatar	0.007
crh-latn	Crimean Tatar in Latin script	0.007
de-ch	Swiss High German	0.007
ast	Asturian	0.007
fi	Finnish	0.007
oc	Occitan	0.007
bar	Bavarian	0.007
ku-latn	Kurdish in Latin script	0.007
id	Indonesian	0.007
mg	Malagasy	0.007
cy	Welsh	0.007
pms	Piedmontese	0.007
pl	Polish	0.006
pam	Kapampangan	0.006
ny	Chewa	0.006
nds	Low German	0.006
lmo	Lombard	0.006
ro	Romanian	0.006
pt	Portuguese	0.006
de	German	0.006
so	Somali	0.006
ty	Tahitian	0.006
hu	Hungarian	0.006
vo	Volapük	0.006
de-at	Austrian German	0.006
lv	Latvian	0.006
sg	Sango	0.006
min	Minangkabau	0.006
eml	Emilian-Romagnol	0.006
gn	Guarani	0.006
kaa	Karakalpak	0.006
kr	Kanuri	0.006
ff	Fula	0.005
sei	Seri	0.005
pih	Pitkern	0.005
ss	Swazi	0.005
ace	Acehnese	0.005
ch	Chamorro	0.005
st	Sesotho	0.005
cho	Choctaw	0.005
rw	Kinyarwanda	0.005
kj	Kwanyama	0.005
sms	Skolt Sami	0.005
stq	Saterland Frisian	0.005
sn	Shona	0.005
chy	Cheyenne	0.005
ak	Akan	0.005
szl	Silesian	0.005
srn	Sranan Tongo	0.005
qug	Kichwa	0.005
csb	Kashubian	0.005
rif	Tarifit	0.005
zea	Zeelandic	0.005
rn	Kirundi	0.005
pdt	Plautdietsch	0.005
ln	Lingala	0.005
pdc	Pennsylvania German	0.005
haw	Hawaiian	0.005
nah	Nahuatl	0.005
ig	Igbo	0.005
mwl	Mirandese	0.005
mus	Muscogee	0.005
tum	Tumbuka	0.005
tw	Twi	0.005
gv	Manx	0.005
ha	Hausa	0.005
bi	Bislama	0.005
nb	Bokmål	0.005
ho	Hiri Motu	0.005
mh	Marshallese	0.005
bcl	Central Bikol	0.005
lg	Luganda	0.005
ve	Venda	0.005
vep	Veps	0.005
hz	Herero	0.005
lt	Lithuanian	0.005
ts	Tsonga	0.005
brh	Brahui	0.005
nso	Northern Sotho	0.005
tn	Tswana	0.005
pag	Pangasinan	0.005
ksh	Ripuarian	0.005
tg-latn	Tajik in Latin script	0.005
ca	Catalan	0.005
fy	West Frisian	0.005
nv	Navajo	0.005
nov	Novial	0.005
gag	Gagauz	0.005
tk	Turkmen	0.005
to	Tongan	0.005
tpi	Tok Pisin	0.005
ng	Ndonga	0.005
ik	Inupiaq	0.005
aln	Gheg Albanian	0.004
arn	Mapudungun	0.004
ay	Aymara	0.004
tet	Tetum	0.004
cbk-zam	Zamboanga Chavacano	0.004
za	Zhuang	0.004
sli	Silesian German	0.004
sm	Samoan	0.004
tt-latn	Tatar in Latin script	0.004
smj	Lule Sami	0.004
yo	Yoruba	0.004
ang	Old English	0.004
ug-latn	Uyghur in Latin script	0.004
da	Danish	0.004
tl	Tagalog	0.004
xh	Xhosa	0.004
roa-tara	Tarantino	0.004
rmy	Romani	0.004
ike-latn	Eastern Canadian in Latin script	0.004
nn	Nynorsk	0.004
hif-latn	Fiji Hindi in Latin script	0.004
fj	Fijian	0.004
fit	Meänkieli	0.004
pt-br	Brazilian Portuguese	0.004
ltg	Latgalian	0.004
qu	Quechua	0.004
lfn	Lingua Franca Nova	0.004
ext	Extremaduran	0.004
kw	Cornish	0.004
ruq-latn	Megleno-Romanian in Latin script	0.004
ee	Ewe	0.004
dtp	Kadazandusun	0.004
na	Nauruan	0.004
sdc	Sassarese	0.004
krj	Kinaray-a	0.004
jbo	Lojban	0.004
jv	Javanese	0.004
diq	Zazaki	0.004
shi-latn	Tachelhit in Latin script	0.004
ki	Gikuyu	0.004
sgs	Samogitian	0.004
lzz	Laz	0.003
ht	Haitian Creole	0.003
mi	Māori	0.003
frr	North Frisian	0.003
om	Oromo	0.003
mt	Maltese	0.003
gor	Gorontalo	0.003
tru	Turoyo	0.003
smn	Inari Sami	0.003
lus	Mizo	0.003
szy	Sakizaya	0.003
vot	Votic	0.003
sq	Albanian	0.003
sma	Southern Sami	0.003
rup	Aromanian	0.003
la	Latin	0.003
sl	Slovene	0.003
loz	Lozi	0.003
