lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
cy	Welsh		Latin	FALSE	https://en.wikipedia.org/wiki/Welsh_language	http://www.wikidata.org/entity/Q9309
da	Danish		Latin	FALSE	https://en.wikipedia.org/wiki/Danish_language	http://www.wikidata.org/entity/Q9035
dag	Dagbani		Latin	FALSE	https://en.wikipedia.org/wiki/Dagbani_language	http://www.wikidata.org/entity/Q32238
dar	Dargwa		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Dargwa_language	http://www.wikidata.org/entity/Q32332
de	German		Latin	FALSE	https://en.wikipedia.org/wiki/German_language	http://www.wikidata.org/entity/Q188
de	German		Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21167895
de-at	Austrian German		Latin	TRUE	https://en.wikipedia.org/wiki/Austrian_German	http://www.wikidata.org/entity/Q306626
de-ch	Swiss High German		Latin	TRUE	https://en.wikipedia.org/wiki/Swiss_Standard_German	http://www.wikidata.org/entity/Q1366643
de-formal	formal address in German		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427341
din	Dinka		Latin	FALSE	https://en.wikipedia.org/wiki/Dinka_language	http://www.wikidata.org/entity/Q56466
diq	Zazaki		Latin	FALSE	https://en.wikipedia.org/wiki/Zaza_language	http://www.wikidata.org/entity/Q10199
dlm	Dalmatian		Latin	FALSE	https://en.wikipedia.org/wiki/Dalmatian_language	http://www.wikidata.org/entity/Q35527
dru	Rukai		Latin	FALSE	https://en.wikipedia.org/wiki/Rukai_language	http://www.wikidata.org/entity/Q49232
dsb	Lower Sorbian		Latin	FALSE	https://en.wikipedia.org/wiki/Lower_Sorbian_language	http://www.wikidata.org/entity/Q13286
dtp	Kadazandusun		Latin	FALSE	https://en.wikipedia.org/wiki/Kadazandusun_language	http://www.wikidata.org/entity/Q5317225
dty	Doteli		Devanagari	FALSE	https://en.wikipedia.org/wiki/Doteli	http://www.wikidata.org/entity/Q18415595
dua	Duala	Primarily spoken?	Latin	FALSE	https://en.wikipedia.org/wiki/Duala_language	http://www.wikidata.org/entity/Q33013
dv	Dhivehi		Thaana	FALSE	https://en.wikipedia.org/wiki/Maldivian_language	http://www.wikidata.org/entity/Q32656
dz	Dzongkha		Tibetan	FALSE	https://en.wikipedia.org/wiki/Dzongkha	http://www.wikidata.org/entity/Q33081
ee	Ewe		Latin	FALSE	https://en.wikipedia.org/wiki/Ewe_language	http://www.wikidata.org/entity/Q30005
egl	Emilian		Latin	FALSE	https://en.wikipedia.org/wiki/Emilian_dialects	http://www.wikidata.org/entity/Q1057898
el	Modern Greek		Greek	FALSE	https://en.wikipedia.org/wiki/Modern_Greek	http://www.wikidata.org/entity/Q36510
el	Greek		Greek	FALSE	https://en.wikipedia.org/wiki/Greek_language	http://www.wikidata.org/entity/Q9129
eml	Emilian-Romagnol		Latin	FALSE	https://en.wikipedia.org/wiki/Emilian-Romagnol_language	http://www.wikidata.org/entity/Q242648
en	English		Latin	FALSE	https://en.wikipedia.org/wiki/English_language	http://www.wikidata.org/entity/Q1860
en-ca	Canadian English		Latin	TRUE	https://en.wikipedia.org/wiki/Canadian_English	http://www.wikidata.org/entity/Q44676
en-gb	British English		Latin	TRUE	https://en.wikipedia.org/wiki/British_English	http://www.wikidata.org/entity/Q7979
en-simple	Simple English		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21480034
en-us	American English		Latin	TRUE	https://en.wikipedia.org/wiki/American_English	http://www.wikidata.org/entity/Q7976
en-x-simple	Simple English		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21480034
enm	Middle English		Latin	FALSE	https://en.wikipedia.org/wiki/Middle_English	http://www.wikidata.org/entity/Q36395
eo	Esperanto		Latin	FALSE	https://en.wikipedia.org/wiki/Esperanto	http://www.wikidata.org/entity/Q143
eo-hsistemo	System H		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q3505590
eo-xsistemo	System X		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q3497763
es	Spanish		Latin	FALSE	https://en.wikipedia.org/wiki/Spanish_language	http://www.wikidata.org/entity/Q1321
es-419	Latin American Spanish		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q56649449
es-formal	formal Spanish		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427343
esu	Central Alaskan Yup'ik	Formerly Yugtun syllabary	Latin	FALSE	https://en.wikipedia.org/wiki/Central_Alaskan_Yup'ik_language	http://www.wikidata.org/entity/Q21117
et	Estonian		Latin	FALSE	https://en.wikipedia.org/wiki/Estonian_language	http://www.wikidata.org/entity/Q9072
