lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
cps	Capiznon	Latin	Common,Latin	Latin	FALSE
cpx	Pu-Xian Min	CJK			FALSE
cr	Cree	Latin	Common,Latin	Latin	FALSE
crh	Crimean Tatar	Cyrillic, Latin	Common,Latin	Latin	FALSE
crh-cyrl	Crimean Tatar in Cyrillic	Cyrillic	Cyrillic	Cyrillic	TRUE
crh-latn	Crimean Tatar in Latin script	Latin	Common,Latin	Latin	TRUE
crl	Northern East Cree	Latin			FALSE
crs	Seychellois Creole	Latin			FALSE
cs	Czech	Latin	Common,Latin	Latin	FALSE
csb	Kashubian	Latin	Common,Latin	Latin	FALSE
ctg	Chittagonian	Bengali			FALSE
cu	Church Slavonic	Cyrillic	Cyrillic	Cyrillic	FALSE
cu	Old Church Slavonic	Cyrillic	Cyrillic	Cyrillic	FALSE
cu	Slavonic musical notation	Cyrillic	Cyrillic	Cyrillic	FALSE
cu	Slavonic documents	Cyrillic	Cyrillic	Cyrillic	FALSE
cv	Chuvash	Cyrillic	Common,Cyrillic,Latin	Cyrillic	FALSE
cy	Welsh	Latin	Common,Latin	Latin	FALSE
da	Danish	Latin	Common,Latin	Latin	FALSE
dag	Dagbani	Latin	Latin	Latin	FALSE
dar	Dargwa	Cyrillic			FALSE
de	German	Latin	Common,Latin	Latin	FALSE
de	German	Latin	Common,Latin	Latin	FALSE
de-at	Austrian German	Latin	Common,Latin	Latin	TRUE
de-ch	Swiss High German	Latin	Common,Latin	Latin	TRUE
de-formal	formal address in German	Latin	Latin	Latin	TRUE
din	Dinka	Latin	Common,Latin	Latin	FALSE
diq	Zazaki	Latin	Common,Latin	Latin	FALSE
dlm	Dalmatian	Latin			FALSE
dru	Rukai	Latin			FALSE
dsb	Lower Sorbian	Latin	Common,Latin	Latin	FALSE
dtp	Kadazandusun	Latin	Common,Latin	Latin	FALSE
dty	Doteli	Devanagari	Devanagari	Devanagari	FALSE
dua	Duala	Latin	Latin	Latin	FALSE
dv	Dhivehi	Thaana	Thaana	Thaana	FALSE
dz	Dzongkha	Tibetan	Tibetan	Tibetan	FALSE
ee	Ewe	Latin	Common,Latin	Latin	FALSE
egl	Emilian	Latin	Common,Latin	Latin	FALSE
el	Modern Greek	Greek	Common,Greek,Latin	Greek	FALSE
el	Greek	Greek	Common,Greek,Latin	Greek	FALSE
eml	Emilian-Romagnol	Latin	Common,Latin	Latin	FALSE
en	English	Latin	Common,Latin	Latin	FALSE
en-ca	Canadian English	Latin	Common,Latin	Latin	TRUE
en-gb	British English	Latin	Common,Latin	Latin	TRUE
en-simple	Simple English	Latin			TRUE
en-us	American English	Latin	Latin	Latin	TRUE
en-x-simple	Simple English	Latin			TRUE
enm	Middle English	Latin			FALSE
eo	Esperanto	Latin	Common,Latin	Latin	FALSE
eo-hsistemo	System H	Latin			TRUE
eo-xsistemo	System X	Latin			TRUE
es	Spanish	Latin	Common,Latin	Latin	FALSE
es-419	Latin American Spanish	Latin	Common,Latin	Latin	TRUE
es-formal	formal Spanish	Latin	Latin	Latin	TRUE
esu	Central Alaskan Yup'ik	Latin			FALSE
et	Estonian	Latin	Common,Latin	Latin	FALSE
ett	Etruscan	Etruscan alphabet			FALSE
eu	Basque	Latin	Common,Latin	Latin	FALSE
ext	Extremaduran	Latin	Common,Latin	Latin	FALSE
eya	Eyak	Latin			FALSE
fa	Persian	Arabic	Arabic,Common	Arabic	FALSE
fa-af	Dari	Arabic			TRUE
ff	Fula	Latin	Common,Latin	Latin	FALSE
fi	Finnish	Latin	Common,Latin	Latin	FALSE
fit	Meänkieli	Latin	Common,Latin	Latin	FALSE
fiu-vro	Võro	Latin			TRUE
fj	Fijian	Latin	Common,Latin	Latin	FALSE
fkv	Kven	Latin	Latin	Latin	FALSE
fo	Faroese	Latin	Common,Latin	Latin	FALSE
fon	Fon	Latin			FALSE
fos	Siraya	Latin			FALSE
fr	French	Latin	Common,Latin	Latin	FALSE
fr-ca	Canadian French	Latin			TRUE
frc	Louisiana French	Latin	Common,Latin	Latin	FALSE
frm	Middle French	Latin			FALSE
fro	Old French	Latin			FALSE
frp	Franco-Provençal	Latin	Common,Latin	Latin	FALSE
frr	North Frisian	Latin	Common,Latin	Latin	FALSE
fuf	Pular	Latin			FALSE
fur	Friulian	Latin	Common,Latin	Latin	FALSE
fy	West Frisian	Latin	Common,Latin	Latin	FALSE
ga	Irish	Latin	Common,Latin	Latin	FALSE
gaa	Ga	Latin			FALSE
gag	Gagauz	Latin	Common,Latin	Latin	FALSE
