count,language,type
28196,gan,LOC
28152,fit,PER
28023,mwl,PER
27962,gan-hans,LOC
27950,lad,PER
27741,bcl,PER
27577,hi,LOC
27463,ay,PER
27342,ku,PER
27131,ig,PER
27113,nah,PER
27060,srn,PER
26996,hi,PER
26944,kk-latn,PER
26917,csb,PER
26857,hif,PER
26550,ak,PER
26462,bi,PER
26413,th,PER
26396,gor,PER
26372,rup,PER
26367,kaa,PER
26353,cdo,PER
26272,pam,PER
26272,gn,PER
26216,nov,PER
26183,cbk-zam,PER
26174,tpi,PER
26173,fj,PER
26159,ff,PER
26089,crh-latn,PER
26054,gag,PER
26051,jbo,PER
25921,aa,PER
25820,sn,PER
25788,ch,PER
25780,chy,PER
25759,vep,PER
25728,ki,PER
25725,ik,PER
25720,zh-tw,PER
25716,ho,PER
25712,cho,PER
25663,hz,PER
25624,hif-latn,PER
25615,cr,PER
25571,so,PER
25538,ike-latn,PER
25507,rmy,PER
25468,sgs,PER
25415,haw,PER
25306,xh,PER
25292,te,LOC
25249,ln,PER
25167,pih,PER
25165,pag,PER
25162,mus,PER
25147,roa-tara,PER
25047,na,PER
25043,to,PER
25040,st,PER
25036,tg-latn,PER
24989,rw,PER
24979,pdt,PER
24970,ve,PER
24890,kw,PER
24863,tum,PER
24851,sm,PER
24839,tn,PER
24825,rn,PER
24818,ny,PER
24814,ts,PER
24809,nv,PER
24796,nso,PER
24794,ka,PER
24775,sg,PER
24770,kr,PER
24761,za,PER
24754,kj,PER
24753,ta,PER
24743,ltg,PER
24732,kk-tr,PER
24681,om,PER
24646,ng,PER
24598,tt-latn,PER
24597,ug-latn,PER
24588,ruq-latn,PER
24583,shi-latn,PER
24567,sat,PER
24508,vot,PER
24418,ml,PER
24367,ku-latn,PER
24335,dtp,PER
24251,tk,PER
24214,mk,LOC
24208,lg,PER
24113,lmo,LOC
23965,my,PER
23674,sdc,PER
23644,aln,PER
23608,sei,PER
23560,sli,PER
23545,tg,LOC
23499,got,PER
23482,arn,PER
23388,qug,PER
23361,rif,PER
23358,krj,PER
23269,chr,PER
23261,iu,PER
23239,loz,PER
23231,lus,PER
23199,brh,PER
23190,lzz,PER
23185,tru,PER
23079,bs,LOC
23042,yue,PER
23038,ht,LOC
22944,ky,LOC
22911,ss,PER
22895,tw,PER
22648,mh,PER
22157,mo,PER
21654,lo,PER
21481,su,LOC
21253,cu,PER
21234,yue,LOC
20701,zh-tw,LOC
20054,bjn,LOC
19506,ur,PER
19320,zh-sg,PER
19141,diq,LOC
19080,smj,PER
17884,gu,LOC
17838,sje,PER
17574,mk,PER
17517,kn,LOC
16932,be-tarask,PER
16885,ba,LOC
16449,mr,LOC
16310,pnb,LOC
15982,bpy,LOC
14486,new,LOC
14111,mr,PER
13685,te,PER
13612,se,LOC
13174,gor,LOC
12757,cv,LOC
12621,kk,PER
11782,si,LOC
11158,luz,PER
10892,map-bms,LOC
10834,sr-ec,PER
10485,ku,LOC
10310,pa,PER
9709,wuu,PER
9125,or,PER
8616,kn,PER
8503,rup,LOC
8245,roa-tara,LOC
7648,pnb,PER
7295,szl,LOC
7164,fy,LOC
7108,ba,PER
7016,hsb,LOC
6915,sgs,LOC
6865,simple,PER
6768,ne,LOC
6576,mn,PER
6527,qu,LOC
6294,ne,PER
5813,frr,LOC
5752,pam,LOC
5533,kk-tr,LOC
5395,kk-kz,LOC
5361,kk-cn,LOC
5179,ckb,LOC
5178,zh-my,PER
5142,zh-mo,PER
5119,crh,LOC
5059,ary,PER
5040,ckb,PER
4885,mi,LOC
4834,mzn,LOC
4832,cdo,LOC
4653,ban,LOC
4468,as,PER
4435,bcl,LOC
4359,mai,LOC
4110,hak,LOC
4089,ilo,LOC
4075,pa,LOC
4009,gu,PER
3986,tet,LOC
3979,mai,PER
3945,nys,PER
3884,xmf,LOC
3775,bho,LOC
3752,cv,PER
3712,or,LOC
3494,pi,PER
3466,ay,LOC
3409,ty,LOC
3401,ha,LOC
3341,ky,PER
3317,os,LOC
3313,my,LOC
3302,mn,LOC
3265,lad,LOC
3226,egl,PER
3221,zea,LOC
3207,nah,LOC
3194,vep,LOC
3021,dsb,LOC
2973,ku-latn,LOC
2919,cbk-zam,LOC
2918,yi,PER
2842,ki,LOC
2798,kw,LOC
2781,nv,LOC
2753,ku-arab,LOC
2621,crh-latn,LOC
2576,mrj,LOC
2536,yo,LOC
2483,xmf,PER
2482,aeb-arab,PER
2475,pfl,LOC
2467,yi,LOC
2441,mzn,PER
2433,sa,LOC
2354,nso,LOC
2339,olo,PER
2313,ps,LOC
2310,sa,PER
2293,rw,LOC
2286,vro,PER
2272,lzh,LOC
2236,pag,LOC
2235,hif,LOC
2225,hyw,PER
2220,csb,LOC
2205,sah,LOC
2201,myv,LOC
2187,ce,PER
2183,tg-latn,LOC
2177,sat,LOC
2146,si,PER
2132,haw,LOC
2090,stq,LOC
2085,sm,LOC
2069,myv,PER
2039,rue,LOC
1984,gv,LOC
1963,mad,PER
1950,krj,LOC
1919,ny,LOC
1906,bho,PER
1896,ang,LOC
1848,ps,PER
1804,hil,LOC
1785,mwl,LOC
1768,zh-mo,LOC
1758,eml,LOC
1747,am,LOC
1738,ary,LOC
1733,kk-cyrl,PER
1707,hrx,PER
1689,cps,LOC
1688,bto,LOC
1687,sdc,LOC
1684,lez,LOC
1638,km,LOC
1619,vro,LOC
1617,kk-arab,PER
1592,bbc,LOC
1589,nov,LOC
1573,gn,LOC
1549,liv,PER
1525,so,LOC
1500,gom-latn,PER
1483,sd,LOC
1479,hyw,LOC
1468,mhr,LOC
1464,am,PER
1449,bbc-latn,PER
1448,aeb-latn,PER
1428,tk,LOC
1418,kk-kz,PER
1381,ak,LOC
1363,sd,PER
1359,hil,PER
1347,ug,LOC
1344,ext,LOC
1297,udm,LOC
1276,mt,LOC
1268,ruq,PER
1267,na,LOC
1249,smn,LOC
1240,pdc,LOC
1232,kaa,LOC
1224,sah,PER
1213,gag,LOC
1206,jut,PER
1180,tpi,LOC
1153,olo,LOC
1152,dty,PER
1146,avk,PER
1133,lfn,LOC
1127,ksh,LOC
1084,avk,LOC
1082,new,PER
1065,bi,LOC
1050,sma,LOC
1042,grc,PER
1040,sn,LOC
1001,bo,LOC
998,lez,PER
