lang_code	observed_scripts	language	orthography	is_subtag
uk	Common,Cyrillic,Latin	Ukrainian	Cyrillic	False
umu		Munsee	Latin	False
und		undetermined language	Latin	False
ur	Arabic,Common	Urdu	Arabic	False
uun		Pazeh	Latin	False
uz	Common,Latin	Uzbek	Cyrillic, Latin	False
uz-cyrl	Cyrillic	Uzbek in Cyrillic script	Cyrillic	True
uz-latn	Latin	Uzbek in Latin script	Latin	True
uzs		Southern Uzbek	Arabic	False
ve	Common,Latin	Venda	Latin	False
vec	Common,Latin	Venetian	Latin	False
vep	Common,Latin	Veps	Cyrillic	False
vi	Common,Latin	Vietnamese	Latin	False
vls	Common,Latin	West Flemish	Latin	False
vmf	Common,Latin	Main-Franconian	Latin	False
vo	Common,Latin	Volapük	Latin	False
vot	Common,Latin	Votic	Latin, Cyrillic	False
wa	Common,Latin	Walloon	Latin	False
wal		Wolaytta	Latin	False
war	Common,Latin	Waray	Latin	False
wbl		Wakhi	Arabic, Cyrillic, Latin	False
wls	Latin	Wallisian	Latin	False
wo	Common,Latin	Wolof	Latin, Arabic	False
wuu	Common,Han	Wu Chinese	CJK	False
wym		Vilamovian	Latin	False
xal	Cyrillic	Kalmyk Oirat	Cyrillic	False
xh	Common,Latin	Xhosa	Latin	False
xmf	Common,Georgian	Mingrelian	Georgian	False
xnb		Kanakanavu	Latin	False
xpu		Punic	Phoenician	False
xsy	Latin	Saisiyat	Latin	False
yai		Yaghnobi	Cyrillic, Latin, Arabic	False
yap		Yapese	Latin	False
yav		Yangben	Latin	False
ydg		Yidgha	Arabic	False
yi	Common,Hebrew	Yiddish	Hebrew	False
yo	Common,Latin	Yoruba	Latin	False
yrk		Nenets	Cyrillic	False
yrl		Nheengatu	Latin	False
za	Common,Latin	Zhuang	CJK	False
zea	Common,Latin	Zeelandic	Latin	False
zgh	Tifinagh	Standard Moroccan Berber	Neo-TIfinagh, Berber	False
zh	Common,Han,Latin	Chinese	CJK	False
zh-cn	Common,Han,Latin	Putonghua	CJK	True
zh-hans	Common,Han,Latin	Simplified Chinese	CJK	True
zh-hant	Common,Han,Latin	Traditional Chinese	CJK	True
zh-hk	Common,Han	Chinese (Hong Kong)	CJK	True
zh-min-nan	Latin	Southern Min	CJK	True
zh-mo	Common,Han	Chinese in Macau	CJK	True
zh-my	Common,Han	Malaysian Mandarin	CJK	True
zh-sg	Common,Han	Singaporean Mandarin	CJK	True
zh-tw	Common,Han	Standard Taiwanese Mandarin	CJK	True
zh-tw	Common,Han	Taiwanese Mandarin	CJK	True
zh-yue	Han	Yue Chinese	CJK	True
zh-yue	Han	Cantonese	CJK	True
zu	Common,Latin	Zulu	Latin	False
zun		Zuni	Latin	False
zxx		no linguistic content	Latin	False
