lang_code	scripts
nds-nl	Common,Latin
pi	Devanagari,Latin
pih	Common,Latin
pfl	Common,Latin
pnt	Common,Greek
ms	Common,Latin
ps	Arabic
nrm	Common,Latin
pwn	Latin
quc	Latin
pnb	Arabic,Common
qug	Common,Latin
rmc	Latin
rmf	Latin
rif	Common,Latin
qu	Common,Latin
rmy	Common,Latin
roa-rup	Latin
pcd	Common,Latin
rn	Common,Latin
prg	Common,Latin
rue	Cyrillic
nds	Common,Latin
roa-tara	Common,Latin
ruq-cyrl	Common,Latin
rgn	Common,Latin
ruq	Common,Latin
ruq-latn	Common,Latin
rup	Common,Latin
rwr	Common,Latin
ryu	Han,Hiragana
sah	Cyrillic
rw	Common,Latin
sa	Devanagari
sat	Ol_Chiki
oc	Common,Latin
sdh	Latin
pms	Common,Latin
sd	Arabic,Common,Devanagari
sdc	Common,Latin
sei	Common,Latin
ses	Common,Latin
sg	Common,Latin
shi	Common,Latin,Tifinagh
shi-tfng	Latin
shi-latn	Common,Latin
shn	Myanmar
se	Common,Latin
sgs	Common,Latin
shy-latn	Latin
shy	Tifinagh
simple	Common,Latin
rm	Common,Latin
si	Common,Sinhala
sjd	Cyrillic
sju	Latin
skr-arab	Arabic
skr	Arabic
ja	Common,Han,Hiragana,Katakana,Latin
sje	Common,Latin
sli	Common,Latin
smj	Common,Latin
smn	Latin
sms	Latin
sma	Common,Latin
sm	Common,Latin
scn	Common,Latin
sn	Common,Latin
so	Common,Latin
srq	Common,Latin
ga	Common,Latin
srn	Common,Latin
sc	Common,Latin
sr-ec	Common,Cyrillic
ss	Common,Latin
sty	Cyrillic,Latin
sco	Common,Latin
stq	Common,Latin
st	Common,Latin
szy	Latin
sh	Common,Latin
szl	Common,Latin
tay	Common,Latin
tcy	Kannada
tg-cyrl	Cyrillic
su	Common,Latin
sr-el	Common,Latin
ta	Common,Tamil
te	Common,Telugu
ti	Ethiopic
tet	Common,Latin
tg-latn	Common,Latin
tk	Common,Latin
tly	Latin
tg	Cyrillic
tn	Common,Latin
th	Common,Thai
to	Common,Latin
tpi	Common,Latin
trv	Latin
tt-cyrl	Common,Cyrillic
tru	Common,Latin
ts	Common,Latin
tt-latn	Common,Latin
sr	Common,Cyrillic,Latin
tyv	Common,Cyrillic
tum	Common,Latin
tw	Common,Latin
tzm	Tifinagh
sw	Common,Latin
udm	Cyrillic
ug-arab	Arabic
nn	Common,Latin
ro	Common,Latin
tl	Common,Latin
ug	Arabic,Common,Cyrillic,Latin
ty	Common,Latin
ug-latn	Common,Latin
uz-cyrl	Cyrillic
uz-latn	Latin
sk	Common,Latin
pap	Common,Latin
ve	Common,Latin
vep	Common,Latin
vro	Common,Latin
vot	Common,Latin
uz	Common,Latin
wls	Latin
xal	Cyrillic
ur	Arabic,Common
xmf	Common,Georgian
xsy	Latin
tt	Common,Cyrillic,Latin
wuu	Common,Han
xh	Common,Latin
yi	Common,Hebrew
vmf	Common,Latin
za	Common,Latin
zgh	Tifinagh
yue	Common,Han
zea	Common,Latin
zh-min-nan	Latin
vls	Common,Latin
zh-mo	Common,Han
vo	Common,Latin
zh-my	Common,Han
zh-yue	Han
war	Common,Latin
pl	Common,Latin
zh-sg	Common,Han
zh-tw	Common,Han
wa	Common,Latin
tr	Common,Latin
vec	Common,Latin
wo	Common,Latin
zh-hk	Common,Han
ca	Common,Latin
zh-cn	Common,Han,Latin
yo	Common,Latin
uk	Common,Cyrillic,Latin
ru	Common,Cyrillic,Latin
zu	Common,Latin
vi	Common,Latin
nb	Common,Latin
zh-hans	Common,Han,Latin
zh-hant	Common,Han,Latin
pt-br	Common,Latin
it	Common,Latin
zh	Common,Han,Latin
pt	Common,Latin
de	Common,Latin
sl	Common,Latin
sv	Common,Latin
ast	Common,Latin
fr	Common,Latin
sq	Common,Latin
es	Common,Latin
nl	Common,Latin
en	Common,Latin
