language,conll_type,num_docs
kk,PER,22380
nl-informal,PER,6
ike-latn,PER,25538
ny,PER,24818
tt-cyrl,PER,841
kaa,PER,26377
sr,PER,49444
io,PER,114277
za,PER,24762
krj,PER,23359
sr-ec,PER,10993
nl,PER,7377865
gag,PER,26098
gom-latn,PER,1502
tl,PER,64627
arq,PER,538
liv,PER,1550
pih,PER,25167
mo,PER,22158
ba,PER,11006
xsy,PER,1
zh-cn,PER,56764
nov,PER,26217
ace,PER,82642
ce,PER,2504
bjn,PER,75933
ruq-cyrl,PER,189
tet,PER,49662
ts,PER,24814
se,PER,48459
ota,PER,203
mai,PER,4102
map-bms,PER,75653
qug,PER,23388
ng,PER,24646
kab,PER,77324
lg,PER,24208
no,PER,388
ku-arab,PER,942
ko,PER,148601
kea,PER,355
nrm,PER,109330
kw,PER,24892
gn,PER,26278
udm,PER,729
bug,PER,51761
mi,PER,37831
zh-mo,PER,5284
ln,PER,25300
aeb-latn,PER,1448
yue,PER,23953
aln,PER,23644
kri,PER,362
eml,PER,30384
lus,PER,23231
niu,PER,325
abs,PER,3
hy,PER,72505
rw,PER,24992
srq,PER,493
pt,PER,1384948
yo,PER,34969
ary,PER,6430
mr,PER,17280
gd,PER,139400
na,PER,25047
srn,PER,27065
vmf,PER,80291
os,PER,1006
sdc,PER,23674
tum,PER,24863
aa,PER,25922
cps,PER,339
bxr,PER,525
pdc,PER,30823
ie,PER,111202
mus,PER,25162
chy,PER,25780
sje,PER,17839
scn,PER,135683
ext,PER,33980
ty,PER,59129
ug-latn,PER,24597
ps,PER,2211
ne,PER,7129
ve,PER,24970
kbp,PER,670
hrx,PER,1707
ig,PER,27131
ay,PER,27466
cr,PER,25618
vec,PER,136871
loz,PER,23239
crh-latn,PER,26107
lo,PER,21784
sei,PER,23608
ss,PER,22912
frr,PER,66561
bto,PER,336
rup,PER,26380
rn,PER,24825
rgn,PER,52715
sg,PER,24776
bcl,PER,27937
pdt,PER,24981
es-formal,PER,41
cbk-zam,PER,26183
tw,PER,22895
trv,LOC,1
shy-latn,LOC,3
ks-arab,LOC,3
kbd-cyrl,LOC,3
tly,LOC,3
niu,LOC,5
lki,LOC,2
srq,LOC,4
rwr,LOC,2
ses,LOC,2
krl,LOC,6
tzm,LOC,5
kjp,LOC,31
ks-deva,LOC,4
mni,LOC,13
uz-latn,LOC,1
nod,LOC,9
uz-cyrl,LOC,1
crh-cyrl,LOC,8
ike-cans,LOC,52
mad,LOC,69
dz,LOC,145
ruq,LOC,131
jut,LOC,97
kri,LOC,97
