language_code	language	script_entropy_before	script_entropy_after	script_entropy_difference
ba	Bashkir	0.087	0.001	-0.086
kn	Kannada	0.084	0.0	-0.084
gan-hans	simplified Gan	0.08	0.003	-0.077
mo	Moldovan	0.08	0.08	0.0
zh-sg	Singaporean Mandarin	0.08	0.006	-0.074
zh-my	Malaysian Mandarin	0.078	0.004	-0.074
gan	Gan	0.076	0.003	-0.073
pnb	Western Punjabi	0.074	0.005	-0.06899999999999999
zh-hant	Traditional Chinese	0.07	0.009	-0.061000000000000006
trv	Seediq	0.067	0.0	-0.067
sr-ec	Serbian written in Cyrillic	0.066	0.066	0.0
mr	Marathi	0.066	0.0	-0.066
tly	Talysh	0.061	0.061	0.0
ur	Urdu	0.059	0.027	-0.032
cr	Cree	0.058	0.003	-0.055
kk	Kazakh	0.058	0.0	-0.058
th	Thai	0.058	0.002	-0.056
ml	Malayalam	0.056	0.004	-0.052000000000000005
krl	Karelian	0.055	0.046	-0.009000000000000001
tg	Tajik	0.055	0.055	0.0
niu	Niuean	0.055	0.045	-0.010000000000000002
rwr	Marwari	0.054	0.0	-0.054
ta	Tamil	0.053	0.004	-0.049
ruq-cyrl	Megleno-Romanian in Cyrillic script	0.051	0.0	-0.051
kk-arab	Kazakh in Arabic script	0.049	0.0	-0.049
kea	Cape Verdean Creole	0.048	0.04	-0.008
kri	Krio	0.048	0.04	-0.008
din	Dinka	0.047	0.034	-0.012999999999999998
srq	Sirionó	0.047	0.039	-0.008
az	Azerbaijani	0.046	0.01	-0.036
es-419	Latin American Spanish	0.046	0.017	-0.028999999999999998
ar	Arabic	0.043	0.003	-0.039999999999999994
ady-cyrl	Adyghe in Cyrillic script	0.042	0.0	-0.042
kk-cyrl	Kazakh in Cyrillic script	0.038	0.0	-0.038
nqo	N'Ko	0.037	0.0	-0.037
kbd-cyrl	Kabardian in Cyrillic script	0.036	0.0	-0.036
ses	Koyraboro Senni	0.035	0.035	0.0
sv	Swedish	0.035	0.034	-0.0010000000000000009
mni	Meitei	0.034	0.0	-0.034
ce	Chechen	0.033	0.003	-0.030000000000000002
bcc	Southern Balochi	0.033	0.033	0.0
kiu	Kirmanjki	0.032	0.032	0.0
lki	Laki	0.027	0.018	-0.009000000000000001
fa	Persian	0.026	0.0	-0.026
kbp	Kabiye	0.025	0.021	-0.004
hrx	Hunsrik	0.025	0.022	-0.0030000000000000027
bn	Bengali	0.024	0.0	-0.024
es	Spanish	0.021	0.02	-0.0010000000000000009
alt	Altai	0.02	0.0	-0.02
ilo	Ilocano	0.019	0.018	-0.0010000000000000009
nys	Noongar	0.018	0.015	-0.002999999999999999
atj	Atikamekw	0.017	0.014	-0.003000000000000001
ruq	Megleno-Romanian	0.017	0.017	0.0
en	English	0.017	0.015	-0.0020000000000000018
rmf	Finnish Kalo	0.017	0.0	-0.017
aeb-latn	Tunisian Arabic in Latin script	0.016	0.016	0.0
bbc-latn	Batak Toba in Latin script	0.016	0.016	0.0
ku	Kurdish	0.015	0.007	-0.008
avk	Kotava	0.014	0.012	-0.002
olo	Livvi-Karelian	0.014		
pap	Papiamento	0.014	0.013	-0.0010000000000000009
lzh	Classical Chinese	0.014	0.005	-0.009000000000000001
bto	Rinconada Bikol	0.014	0.012	-0.002
cps	Capiznon	0.014	0.011	-0.003000000000000001
uz	Uzbek	0.014	0.0	-0.014
liv	Livonian	0.014	0.014	0.0
egl	Emilian	0.013	0.011	-0.002
hil	Hiligaynon	0.013	0.011	-0.002
gom-latn	Goan Konkani in Latin script	0.013	0.013	0.0
tay	Atayal	0.013	0.013	0.0
vro	Estonian	0.013	0.013	0.0
azb	South Azerbaijani	0.013		
vec	Venetian	0.012	0.01	-0.002
aa	Afar	0.012	0.004	-0.008
scn	Sicilian	0.01	0.009	-0.0010000000000000009
se	Northern Sami	0.01	0.008	-0.002
zu	Zulu	0.01	0.01	0.0
fr	French	0.01	0.008	-0.002
ban	Balinese	0.01	0.004	-0.006
