	language_code	type	count
245	dv	LOC	592
246	dv	ORG	334
247	dv	PER	248
248	dz	LOC	147
249	dz	ORG	113
250	dz	PER	20
251	ee	LOC	550
252	ee	ORG	1011
253	ee	PER	35574
254	egl	LOC	52
255	egl	ORG	334
256	egl	PER	4595
257	el	LOC	54080
258	el	ORG	39279
259	el	PER	99106
260	eml	LOC	1810
261	eml	ORG	2690
262	eml	PER	32886
263	en	LOC	3924006
264	en	ORG	2296683
265	en	PER	9362729
266	eo	LOC	153742
267	eo	ORG	123142
268	eo	PER	239310
269	es	LOC	669237
270	es	ORG	463881
271	es	PER	5094932
272	et	LOC	117200
273	et	ORG	78221
274	et	PER	281899
275	eu	LOC	280401
276	eu	ORG	141059
277	eu	PER	326618
278	ext	LOC	1711
279	ext	ORG	1923
280	ext	PER	36458
281	fa	LOC	269369
282	fa	ORG	124271
283	fa	PER	237314
284	ff	LOC	687
285	ff	ORG	1248
286	ff	PER	28521
287	fi	LOC	274958
288	fi	ORG	157817
289	fi	PER	1107316
290	fit	LOC	614
291	fit	ORG	1453
292	fit	PER	31088
293	fj	LOC	2332
294	fj	ORG	2678
295	fj	PER	28526
296	fkv	LOC	987
297	fkv	ORG	8
298	fkv	PER	40
299	fo	LOC	41869
300	fo	ORG	43378
301	fo	PER	66287
302	fr	LOC	921410
303	fr	ORG	664931
304	fr	PER	3417281
305	frc	LOC	39119
306	frc	ORG	38662
307	frc	PER	59483
308	frp	LOC	68886
309	frp	ORG	50848
310	frp	PER	119454
311	frr	LOC	7304
312	frr	ORG	3151
313	frr	PER	69587
314	fur	LOC	69837
315	fur	ORG	51511
316	fur	PER	140320
317	fy	LOC	7828
318	fy	ORG	6155
319	fy	PER	55442
320	ga	LOC	256663
321	ga	ORG	61907
322	ga	PER	1654447
323	gag	LOC	1499
324	gag	ORG	1401
325	gag	PER	27482
326	gan	LOC	61439
327	gan	ORG	1322
328	gan	PER	932
329	gcr	LOC	441
330	gcr	ORG	301
331	gcr	PER	134
332	gd	LOC	87022
333	gd	ORG	54101
