lang_code	language	is_subtag	en_wikipedia_link	wikidata_url
bfi	British Sign Language	False	https://en.wikipedia.org/wiki/British_Sign_Language	http://www.wikidata.org/entity/Q33000
bfq	Badaga	False	https://en.wikipedia.org/wiki/Badaga_language	http://www.wikidata.org/entity/Q33205
bg	Bulgarian	False	https://en.wikipedia.org/wiki/Bulgarian_language	http://www.wikidata.org/entity/Q7918
bgn	Western Balochi	False	https://en.wikipedia.org/wiki/Western_Baluchi_language	http://www.wikidata.org/entity/Q12645561
bh	Bhojpuri	False	https://en.wikipedia.org/wiki/Bhojpuri_language	http://www.wikidata.org/entity/Q33268
bi	Bislama	False	https://en.wikipedia.org/wiki/Bislama	http://www.wikidata.org/entity/Q35452
bjn	Banjar	False	https://en.wikipedia.org/wiki/Banjarese_language	http://www.wikidata.org/entity/Q33151
bla	Blackfoot	False	https://en.wikipedia.org/wiki/Blackfoot_language	http://www.wikidata.org/entity/Q33060
bm	Bambara	False	https://en.wikipedia.org/wiki/Bambara_language	http://www.wikidata.org/entity/Q33243
bn	Bengali	False	https://en.wikipedia.org/wiki/Bengali_language	http://www.wikidata.org/entity/Q9610
bnn	Bunun	False	https://en.wikipedia.org/wiki/Bunun_language	http://www.wikidata.org/entity/Q56505
bo	Tibetan	False	https://en.wikipedia.org/wiki/Lhasa_Tibetan	http://www.wikidata.org/entity/Q34271
bpy	Bishnupriya Manipuri	False	https://en.wikipedia.org/wiki/Bishnupriya_Manipuri_language	http://www.wikidata.org/entity/Q37059
bqi	Bakhtiari	False	https://en.wikipedia.org/wiki/Bakhtiari_dialect	http://www.wikidata.org/entity/Q257829
br	Breton	False	https://en.wikipedia.org/wiki/Breton_language	http://www.wikidata.org/entity/Q12107
brh	Brahui	False	https://en.wikipedia.org/wiki/Brahui_language	http://www.wikidata.org/entity/Q33202
brx	Bodo	False	https://en.wikipedia.org/wiki/Boro_language_(India)	http://www.wikidata.org/entity/Q33223
bs	Bosnian	False	https://en.wikipedia.org/wiki/Bosnian_language	http://www.wikidata.org/entity/Q9303
bsk	Burushaski	False	https://en.wikipedia.org/wiki/Burushaski	http://www.wikidata.org/entity/Q216286
bss	Kose	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q34806
btm	Mandailing	False	https://en.wikipedia.org/wiki/Mandailing_language	http://www.wikidata.org/entity/Q2891049
bto	Rinconada Bikol	False	https://en.wikipedia.org/wiki/Rinconada_Bikol_language	http://www.wikidata.org/entity/Q12633026
bug	Buginese	False	https://en.wikipedia.org/wiki/Buginese_language	http://www.wikidata.org/entity/Q33190
bxr	Buryat	False	https://en.wikipedia.org/wiki/Buryat_language	http://www.wikidata.org/entity/Q33120
bxr	Russia Buriat	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q16116629
byq	Basay	False	https://en.wikipedia.org/wiki/Basay_language	http://www.wikidata.org/entity/Q716647
bzg	Babuza	False	https://en.wikipedia.org/wiki/Babuza_language	http://www.wikidata.org/entity/Q716615
bzs	Brazilian Sign Language	False	https://en.wikipedia.org/wiki/Brazilian_Sign_Language	http://www.wikidata.org/entity/Q3436689
ca	Catalan	False	https://en.wikipedia.org/wiki/Catalan_language	http://www.wikidata.org/entity/Q7026
cak	Kaqchikel	False	https://en.wikipedia.org/wiki/Kaqchikel_language	http://www.wikidata.org/entity/Q35115
cal	Carolinian	False	https://en.wikipedia.org/wiki/Carolinian_language	http://www.wikidata.org/entity/Q28427
cbk-zam	Chavacano	True	https://en.wikipedia.org/wiki/Chavacano	http://www.wikidata.org/entity/Q33281
cbk-zam	Zamboanga Chavacano	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q32174903
ccp	Chakma	False	https://en.wikipedia.org/wiki/Chakma_language	http://www.wikidata.org/entity/Q32952
ccp-beng	Chakma in Bengali script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107530840
cdo	Min Dong	False	https://en.wikipedia.org/wiki/Eastern_Min	http://www.wikidata.org/entity/Q36455
ce	Chechen	False	https://en.wikipedia.org/wiki/Chechen_language	http://www.wikidata.org/entity/Q33350
ceb	Cebuano	False	https://en.wikipedia.org/wiki/Cebuano_language	http://www.wikidata.org/entity/Q33239
ch	Chamorro	False	https://en.wikipedia.org/wiki/Chamorro_language	http://www.wikidata.org/entity/Q33262
chn	Chinook Jargon	False	https://en.wikipedia.org/wiki/Chinook_Jargon	http://www.wikidata.org/entity/Q35173
cho	Choctaw	False	https://en.wikipedia.org/wiki/Choctaw_language	http://www.wikidata.org/entity/Q32979
chr	Cherokee	False	https://en.wikipedia.org/wiki/Cherokee_language	http://www.wikidata.org/entity/Q33388
chy	Cheyenne	False	https://en.wikipedia.org/wiki/Cheyenne_language	http://www.wikidata.org/entity/Q33265
ckb	Kurdish Wikipedia	False	https://en.wikipedia.org/wiki/Kurdish_Wikipedia	http://www.wikidata.org/entity/Q1154741
ckb	Sorani	False	https://en.wikipedia.org/wiki/Sorani	http://www.wikidata.org/entity/Q36811
ckt	Chukchi	False	https://en.wikipedia.org/wiki/Chukchi_language	http://www.wikidata.org/entity/Q33170
ckv	Kavalan	False	https://en.wikipedia.org/wiki/Kavalan_language	http://www.wikidata.org/entity/Q716627
clc	Chilcotin	False	https://en.wikipedia.org/wiki/Chilcotin_language	http://www.wikidata.org/entity/Q28535
cnh	Hakha-Chin	False	https://en.wikipedia.org/wiki/Hakha_Chin_language	http://www.wikidata.org/entity/Q3250286
cnr	Montenegrin	False	https://en.wikipedia.org/wiki/Montenegrin_language	http://www.wikidata.org/entity/Q8821
co	Corsican	False	https://en.wikipedia.org/wiki/Corsican_language	http://www.wikidata.org/entity/Q33111
cop	Coptic	False	https://en.wikipedia.org/wiki/Coptic_language	http://www.wikidata.org/entity/Q36155
cps	Capiznon	False	https://en.wikipedia.org/wiki/Capiznon_language	http://www.wikidata.org/entity/Q2937525
cpx	Pu-Xian Min	False	https://en.wikipedia.org/wiki/Pu-Xian_Min	http://www.wikidata.org/entity/Q56583
cr	Cree	False	https://en.wikipedia.org/wiki/Cree_language	http://www.wikidata.org/entity/Q33390
crh	Crimean Tatar	False	https://en.wikipedia.org/wiki/Crimean_Tatar_language	http://www.wikidata.org/entity/Q33357
crh-cyrl	Crimean Tatar in Cyrillic	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107557467
crh-latn	Crimean Tatar in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107557485
