language_code	language	script_entropy_before	script_entropy_after
ses	Koyraboro Senni	0.035	0.035
mni	Meitei	0.034	0.0
bcc	Southern Balochi	0.033	0.033
ce	Chechen	0.033	0.0
kiu	Kirmanjki	0.032	0.032
lki	Laki	0.027	0.018
fa	Persian	0.026	0.0
kbp	Kabiye	0.025	0.021
hrx	Hunsrik	0.025	0.018
bn	Bengali	0.024	0.0
es	Spanish	0.021	0.003
alt	Altai	0.02	0.0
ilo	Ilocano	0.019	0.002
nys	Noongar	0.018	0.011
ruq	Megleno-Romanian	0.017	0.012
rmf	Finnish Kalo	0.017	0.0
en	English	0.017	0.004
atj	Atikamekw	0.017	0.014
aeb-latn	Tunisian Arabic in Latin script	0.016	0.011
bbc-latn	Batak Toba in Latin script	0.016	0.011
ku	Kurdish	0.015	0.003
pap	Papiamento	0.014	0.003
bto	Rinconada Bikol	0.014	0.012
uz	Uzbek	0.014	0.0
cps	Capiznon	0.014	0.011
liv	Livonian	0.014	0.01
lzh	Classical Chinese	0.014	0.003
avk	Kotava	0.014	0.012
vro	Estonian	0.013	0.013
hil	Hiligaynon	0.013	0.009
tay	Atayal	0.013	0.013
egl	Emilian	0.013	0.011
gom-latn	Goan Konkani in Latin script	0.013	0.009
vec	Venetian	0.012	0.005
aa	Afar	0.012	0.002
zu	Zulu	0.01	0.003
bbc	Toba Batak	0.01	0.007
se	Northern Sami	0.01	0.006
ban	Balinese	0.01	0.004
scn	Sicilian	0.01	0.003
fr	French	0.01	0.005
ia	Interlingua	0.009	0.003
gl	Galician	0.009	0.003
sju	Ume Sami	0.009	0.0
arz	Egyptian Arabic	0.009	0.0
sr-el	Serbian (Latin script)	0.009	0.004
af	Afrikaans	0.009	0.003
hr	Croatian	0.009	0.004
fur	Friulian	0.009	0.003
pcd	Picard	0.009	0.003
is	Icelandic	0.009	0.004
vi	Vietnamese	0.008	0.005
it	Italian	0.008	0.004
hak	Hakka	0.008	0.001
li	Limburgish	0.008	0.003
lij	Ligurian	0.008	0.003
nds-nl	Dutch Low Saxon	0.008	0.003
nap	Neapolitan	0.008	0.003
wo	Wolof	0.008	0.004
eo	Esperanto	0.008	0.003
an	Aragonese	0.008	0.003
sk	Slovak	0.008	0.004
sco	Scots	0.008	0.003
et	Estonian	0.008	0.004
wa	Walloon	0.008	0.003
gd	Scottish Gaelic	0.008	0.003
cs	Czech	0.008	0.004
frp	Franco-Provençal	0.008	0.004
ceb	Cebuano	0.008	0.002
lb	Luxembourgish	0.008	0.004
br	Breton	0.008	0.003
tr	Turkish	0.008	0.004
nrm	Norman	0.008	0.004
vls	West Flemish	0.008	0.003
en-ca	Canadian English	0.008	0.004
ie	Interlingue	0.008	0.004
rm	Romansh	0.008	0.003
en-gb	British English	0.008	0.004
bs	Bosnian	0.008	0.003
kg	Kongo	0.008	0.004
ms	Malay	0.007	0.004
oc	Occitan	0.007	0.003
crh	Crimean Tatar	0.007	0.0
mg	Malagasy	0.007	0.003
id	Indonesian	0.007	0.004
co	Corsican	0.007	0.003
bar	Bavarian	0.007	0.003
eu	Basque	0.007	0.004
lad	Judaeo-Spanish	0.007	0.002
gsw	Alemannic	0.007	0.003
sc	Sardinian	0.007	0.003
hif	Fiji Hindi	0.007	0.0
nl	Dutch	0.007	0.003
fi	Finnish	0.007	0.004
cy	Welsh	0.007	0.004
ku-latn	Kurdish in Latin script	0.007	0.001
crh-latn	Crimean Tatar in Latin script	0.007	0.002
sw	Swahili	0.007	0.003
ast	Asturian	0.007	0.003
pms	Piedmontese	0.007	0.003
cdo	Min Dong	0.007	0.001
io	Ido	0.007	0.003
de-ch	Swiss High German	0.007	0.003
eml	Emilian-Romagnol	0.006	0.004
ny	Chewa	0.006	0.003
de-at	Austrian German	0.006	0.003
pt	Portuguese	0.006	0.003
nds	Low German	0.006	0.002
pl	Polish	0.006	0.003
ro	Romanian	0.006	0.003
de	German	0.006	0.003
pam	Kapampangan	0.006	0.003
sg	Sango	0.006	0.002
so	Somali	0.006	0.003
vo	Volapük	0.006	0.003
kr	Kanuri	0.006	0.003
lmo	Lombard	0.006	0.002
ty	Tahitian	0.006	0.003
hu	Hungarian	0.006	0.003
lv	Latvian	0.006	0.003
kaa	Karakalpak	0.006	0.003
gn	Guarani	0.006	0.002
min	Minangkabau	0.006	0.003
ts	Tsonga	0.005	0.002
